Movie Name,IMDb Rating,YouTube Trailer Link
Dune,8.0,https://youtu.be/n9xhJrPXop4
Spider-Man - No Way Home,8.3,https://youtu.be/JfVOs4VSpmA
The Batman,7.9,https://youtu.be/mqqft2x_Aa4
Top Gun - Maverick,8.2,https://youtu.be/giXco2jaZ_4
Avatar - The Way of Water,7.6,https://youtu.be/d9MyW72ELq0
Oppenheimer,8.5,https://youtu.be/bK6ldnjE3Y0
John Wick - Chapter 4,8.1,https://youtu.be/qEVUtrk8_B4
Guardians of the Galaxy Vol. 3,8.0,https://youtu.be/u3V5KDHRQvk
Shang-Chi and the Legend of the Ten Rings,7.4,https://youtu.be/giWIr7U1deA
Black Panther - Wakanda Forever,7.3,https://youtu.be/_Z3QKkl1WyM
Doctor Strange in the Multiverse of Madness,7.0,https://youtu.be/aWzlQ2N6qqg
The Flash,7.1,https://youtu.be/r51cYVZWKdY
Mission - Impossible - Dead Reckoning Part One,7.8,https://youtu.be/avz06PDqDbM
Eternals,6.8,https://youtu.be/x_me3xsvDgk
The Marvels,7.2,https://youtu.be/BRb4U99OU80
Venom - Let There Be Carnage,6.0,https://youtu.be/-FmWuCgJmxo
Morbius,5.2,https://youtu.be/oZ6iiRrz1SY
The Matrix Resurrections,5.7,https://youtu.be/9ix7TUGVYIo
Black Adam,6.4,https://youtu.be/X0tOpBuYasI
The Suicide Squad,6.6,https://youtu.be/eg5ciqQzmK0
Wonder Woman 1984,6.5,https://youtu.be/sfM7_JLk-84
The Gray Man,6.3,https://youtu.be/BmllggGO4pM
No Time to Die,6.9,https://youtu.be/BIhNsAtPbPI
Cruella,6.7,https://youtu.be/gmRKv7n2If8
Lightyear,6.3,https://youtu.be/BwZs3H_UN3k
Jungle Cruise,6.1,https://youtu.be/f_HvoipFcA8
Free Guy,6.7,https://youtu.be/X2m-08cOAbc
Soul,7.4,https://youtu.be/xOsLIiBStEs
Raya and the Last Dragon,6.9,https://youtu.be/1VIZ89FEjYI
Encanto,7.3,https://youtu.be/CaimKeDcudo
Cats,2.8,https://youtu.be/FtSd844cI7U
Holmes & Watson,3.8,https://youtu.be/brjkpRBpFnc
The Emoji Movie,3.3,https://youtu.be/o_nfdzMhmrA
Fantastic Four,4.3,https://youtu.be/_rRoD28-WgU
The Last Airbender,4.0,https://youtu.be/DRa8qoocgu4
Jupiter Ascending,5.3,https://youtu.be/t4ZzMkDLjWI
Mortal Engines,5.1,https://youtu.be/IRsFc2gguEg
Geostorm,5.3,https://youtu.be/EuOlYPSEzSc
The 355,4.9,https://youtu.be/2YcTInTfys8
The King's Daughter,5.1,https://youtu.be/_kUJ9ZqFK30
Moonfall,5.2,https://youtu.be/ivIwdQBlS10
Eternals,6.0,https://youtu.be/x_me3xsvDgk
Morbius,5.2,https://youtu.be/oZ6iiRrz1SY
Black Adam,6.1,https://youtu.be/X0tOpBuYasI
Wonder Woman 1984,5.9,https://youtu.be/sfM7_JLk-84
