cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugx2Mv9YS3PVNW2Sn3t4AaABAg,"The actors turned themselves into avatars and lived underwater for 10 years to prepare for their roles, that’s true dedication",2 years ago,@Emadi311,UCsrVr0Z-2RIJToSQ2YdUrtw,88K,410,https://yt3.ggpht.com/ytc/AIdro_kXFhEe9WiGaDDYCrL2lCcnlPfkJpB-o_QT4YUAe8QdYc4=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.890405,Avatar - The Way of Water,7.6
Ugz3fA721S7GqVcty1l4AaABAg,You know the film is really good when you come back to watch the trailer,1 year ago,@pavasite4278,UC-z5u9_tpWGSJ4QXZE2VedA,12K,197,https://yt3.ggpht.com/3kV0S_c2XOmQNdFeCPiBJoTn3pYfmjMMmIaXu6LDDc-sKTk9mYyhfYt_oNGU_Olu929GlAza=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.891405,Avatar - The Way of Water,7.6
Ugw7ztwUBFODGZ6uXut4AaABAg,"""Up ahead is Avatar 2. You grew up hearing about it, but you never figured you'd be going there."" 💙",2 years ago,@Anamnesis,UCxm0KefWHnvuB6nme_rRp1Q,45K,220,https://yt3.ggpht.com/8JYENYA19asFy2DGqWg29ktuNTVJ-pdNSpwgkUKSkm1gHK_Vpyu81OQY9TtcR7AHHsAQA3jF=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.892405,Avatar - The Way of Water,7.6
UgzdB0d4qe4ewrxJ4Qp4AaABAg,Finally. A movie that's not Marvel. That everyone is hyped for. I'm so for this.,2 years ago,@severath19,UCgkj1g9RZH897rVQstz4z3Q,8.4K,213,https://yt3.ggpht.com/ytc/AIdro_lwn7585sESUtpvUGMO7uL8UviK79wYYuu2n7eLp_NK0ek=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.893405,Avatar - The Way of Water,7.6
UgxvfnpLWTxK8x_e64V4AaABAg,"I remember the first time I saw this movie, It was an accident. I was a kid and I asked my grandpa if we could watch Avatar the Last Air Bender. He went to a local Blockbuster CD store that was there at the time, and bought James Cameron's Avatar. I was so confused but at the same time, I was having the time of my life watching the whole thing. Avatar has been my favorite movie for years and I've been waiting for the sequels ever since. I'm so happy its almost here! Also, I love hearing Sigourney Weaver's voice again!",2 years ago,@zenarys299,UCPzOI3relksa67BYsSs8chQ,1.9K,46,https://yt3.ggpht.com/Q3ObrQXr1p5XGzravis6CL4RR2hr1dYo6jFVmSg6IEkCPe2itEGWDyiBM1mdzMjzShS2KGJK=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.894404,Avatar - The Way of Water,7.6
Ugy9mO2FsFBkHhu398B4AaABAg,"I saw the first Avatar when I was 9, and never expected another movie until the news came out that there will be another Avatar. The nostalgia really hits. The music, the scenery, Jake Sully, Neytiri, everything. Had to watch the first movie again. Bringing back the glory days of 2009.",2 years ago (edited),@grimreaper6050,UCnlfB6CWS50t2mYz56YjJ8w,4.5K,53,https://yt3.ggpht.com/9B6zxBaYsBAUBUL1IRof0rIrSPEhyDph8Y0NKtqgHgawHGQMbfDc2S1uM6gKNGkCEm47ZH4ghw=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.895405,Avatar - The Way of Water,7.6
UgzD44zs-ZWX1c_DtSZ4AaABAg,"We need more trailers like this. It doesn't give everything away about its plot, it doesn't try to be action-y or flashy, it just lets you be fascinated.",2 years ago,@AstosAorieuls,UCayi3y7U2Z3823DtE9Wefhg,7.8K,127,https://yt3.ggpht.com/7fGLuhY06IB74_9rVootFK2kGFEI4d8Rsc-30DNX3-Y2biuL27FBiQGqfqtCb_xAVuVaHjuKKA=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.895405,Avatar - The Way of Water,7.6
Ugz8B5FE0-6K1yfoLEt4AaABAg,"I remember seeing Avatar at the opening midnight showing in IMAX 3D. The entire theater had been decorated with trees and vines and plants to look like Pandora. The IMAX had been calibrated specifically for the film. Sold out theater. Then some reps from the IMAX and film industry asked us to stay after to discuss the film, and then asked everyone if they were ready to see the most expensive motion picture ever made, the audience went crazy. It was like being at a sports event. Then they did a countdown from 10. Such an unforgettable movie going experience.",2 years ago,@gordo615,UCHADLVOdkOf-bH_f-xmKkCg,2.9K,56,https://yt3.ggpht.com/P2tgP1cFihezwQDM151CP3YaAtsUPe4TbAi7-gycyLpOZsOORdFrSLdMfOh-OjpUpGgopbF-Tw=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.896406,Avatar - The Way of Water,7.6
Ugw1MFav-0ml4XXtgRx4AaABAg,"The folks who worked on the CGI for this movie deserve an oscar, they absolutely crushed what modern CGI is capable of.",1 year ago,@adawg3032,UCaYIVaENePlBYfo5x0id0GQ,1K,4,https://yt3.ggpht.com/ytc/AIdro_nWTy1diMOMeL7y_1nIwnwlTWO4_xaUIhr5UnYfzs5aIg=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.897406,Avatar - The Way of Water,7.6
Ugx0iFfcpw8enZZA5914AaABAg,"I was one of the first creature designers who worked on this film (worked on the flying frog/ Komodo creatures, the Climbing perch creatures, and more with a bunch of other insanely talented people), and I just wanted to say thank you to all of you, the fans. Some of us who worked on the movies do take the time to read through the comments on the trailers, and seeing the overwhelmingly positive response from you all so far has made the YEARS of work that have gone into these films worth it for all of us. Truly, thank you. I'm glad that you'll came to watch the movie.",1 year ago (edited),@Hot_F,UCorviDZZOk3n-v3Zw3gAl6Q,3.4K,92,https://yt3.ggpht.com/oJ1LBTb7T8vxRayf0sNtlp84flCLPxFNEzHDQQcM3txeWI5E2CqAYcpg5KlI_ZIFxDM0vFuAMA=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.898404,Avatar - The Way of Water,7.6
UgyDLFvo1yNo_5PGjyt4AaABAg,I don't know what impressed me more: The beautiful animation or the fact that a trailer didn't spoil half of its movie,2 years ago,@shuvamkoley3237,UChiH_ulji0y2bAlHmG4Lnmg,15K,99,https://yt3.ggpht.com/JekvuoHf01JaVm2lWnfxmT_yi-HSVWq9MMxyVff7VIexq32w63-KNm52uCxNb6gud7NSJQCz=s88-c-k-c0x00ffffff-no-rj,False,False,1670872862.899405,Avatar - The Way of Water,7.6
UgzyVakarRGG-ZiANBh4AaABAg,"seeing this movie in theatres takes you to a whole other world. i've never seen visuals as breathtaking as this, i still can't get over it it rewired my brain.",1 year ago,@sonnnnnnn,UC0bJ-qcm4LR5LT-G4o-LrOA,2.7K,38,https://yt3.ggpht.com/ytc/AIdro_ldD3jVHzZbQ6qtuuygXRqwMyCYizEfU3pMo95KM64zIA=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.900405,Avatar - The Way of Water,7.6
UgxeoObvndrZSw1_5Wl4AaABAg,"I love how passionately James Cameron is telling this story.. How nature and animals are given importance in the series, I absolutely love..",1 year ago,@sayak4253,UCO7xolA2pnGvryB2A95CnFg,614,2,https://yt3.ggpht.com/HIlxNJXu8CYKIZO2FyOMLt7kJcY6vXWzbkHkXEAP9M48MwbfiAsaAi_IPjfdlTvjqOnHGZGvxQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.901405,Avatar - The Way of Water,7.6
Ugy6eNsb8ruCfnySLYJ4AaABAg,"The fact that it didn’t feel like 3 hours, that’s how you know the visuals are something else. It was the kind of beautiful that made me emotional, perhaps it was my inner child, but the need of fantasy, the need for an escape from the mundane was fully satisfied, after more than a decade of waiting, finally experiencing something you’ve been wanting to since you were 12, now 24- of course it had me tearing up even at happy scenes !! Never watched a movie in theaters twice before, but this will be the exception
UPDATE: still cried the second time :’) I watched it on IMAX this time, personally, I preferred Dobly- the seats are more comfortable, the colors were richer, the sounds were louder, overall felt more engaged",1 year ago (edited),@Mynameisdarkxxo,UCefQLfSlw3sdB2oIBL-p6bg,2.7K,39,https://yt3.ggpht.com/ytc/AIdro_lNx2w2xRVTEXkjaqi8jYPBHG9ZmuQtISt0VCGbwYeaLCPb8U2juNvbLKDYTyD2IccN2Q=s88-c-k-c0x00ffffff-no-rj,False,False,1702408862.902405,Avatar - The Way of Water,7.6
