cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxHKl5nQCgTO30O8m14AaABAg,"Shuri posing as the new Black Panther is all I've been waiting for! If I were a king and I only had a sister, I would smile from above if I saw her taking my place! Love this film with all my heart. I'm hearing this movie will be one of the longest in the MCU, means far better story and structure! Oh Marvel, I cannot wait for this to release!",2 years ago,@TheCanadianLad,UCRI00CwLZdLRCWg5BdDOsNw,66K,432,https://yt3.ggpht.com/ytc/AIdro_l3hqBeBRykk469hDuOPhKdUoR7fuQGXJJtmPuCesFENk0=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.260207,Black Panther - Wakanda Forever,7.3
Ugz4GU2IJRN0P36knkx4AaABAg,That silent landing at the end was such a beautiful choice.,2 years ago,@GarrettWatts,UCbYzlEUtmKsvkzyVm6rPPlQ,46K,320,https://yt3.ggpht.com/NEraEdNzOV9wqud-vC1CebJgZlxqOJzpd8PF5MHhzPnPkNbBUwXJeopAPi8xRWXT-cFWda3cVw=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.26125,Black Panther - Wakanda Forever,7.3
Ugz9OUpSbwgIU8vQ2T94AaABAg,Is it just me or is the music in Black Panther movies just absolutely phenomenal? What a trailer. Can't wait for Namor.,2 years ago,@nareshravindra9955,UClUweSn9UinleqPMR-WATvA,1.4K,17,https://yt3.ggpht.com/ytc/AIdro_luFV9_XxYr2jE8H_JP-IaBQe99uS6qxdVjDnXOyyY=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.262251,Black Panther - Wakanda Forever,7.3
UgzlApuJNyxs_XA1AoF4AaABAg,"No forced comedy, no over the top action, no cheap looking cgi. This is pure emotion. This is what we want from Marvel. No one can take Chadwick's  place as Black Panther but Shuri as Black Panther looks promising to me. Can't wait to see this in theatres. R.I.P Chadwick.",2 years ago,@sarthakshrivastava4129,UClPWhNcyUN3ZxuGEyZLqF_A,3.2K,137,https://yt3.ggpht.com/ytc/AIdro_m31r9WJMUMCi8IUoVxGTKim2x1IiGlM2RIpf2eiZY=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.263256,Black Panther - Wakanda Forever,7.3
UgwHUWhT8CZxmDhQ9lJ4AaABAg,"For Chadwick, your legacy will live on for many years to come! You are Black Panther, the hero that defined a new generation. Wakanda Forever!",2 years ago (edited),@Starwebs,UCnfGDp0NeVv-cE517Qh9gYQ,3.8K,102,https://yt3.ggpht.com/cr92TqUEpIFckNc9z3vbgPEJMqyKEnRkECbhAT38-YCQoV6ttMnEHphegG3mmEGjslALlLIR=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.264249,Black Panther - Wakanda Forever,7.3
UgzBTsziyufzIb_eMe54AaABAg,I'm from Zambia🇿🇲🇿🇲🇿🇲🇿🇲and I could tell you I got literal chills hearing our country's music being played on the Black Panther Trailer!! In our native tongue!!! My God!😱 This is a proud moment for our nation and the recognition this brings us is more than we could ask for. Big ups to the team at Marvel for bringing this together. Zambia Kuchalo🇿🇲🇿🇲🇿🇲🇿🇲🇿🇲,2 years ago,@mapaloshikapwasha6154,UCUGOw2h1tbDRcvjhC9U0WUQ,1.1K,38,https://yt3.ggpht.com/ytc/AIdro_mxQL9MAdEJ4SEioW43FR2bJ4YrR09oMg7YUAVdQPx6N4E=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.265249,Black Panther - Wakanda Forever,7.3
UgwJxbHDwEnEn_TBRbx4AaABAg,"The lines ""Only the most broken people can be good leaders"", gave me chills,  RIP Chadwick Boseman, may your legacy live FOREVER",2 years ago,@muhammadumar8872,UC8GAVNfNzxIZoUJYhKHaqHQ,6.1K,93,https://yt3.ggpht.com/ytc/AIdro_mYJvKukzoPaRuZ0Iw9WVshtroJPHyJM2nk3VwD2mYyKA=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.266247,Black Panther - Wakanda Forever,7.3
Ugzz8K-DmbLS41oN3Cx4AaABAg,"""We know what you whisper. They have lost their protector, now is our time to strike."" What a powerful line that I don't see many people talking about. I think it's so great because though she looks to be projecting strength, Ramonda agrees they have lost their protector and Wakanda is on the edge of disaster.",2 years ago (edited),@redrex6760,UCG8beXfx1nMBKqo_vxp2KdQ,4.3K,45,https://yt3.ggpht.com/ytc/AIdro_mr39q-vP3Le5wxdfGBV1BXYdyd7uCF3HiCy37-2foIBg=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.266247,Black Panther - Wakanda Forever,7.3
Ugzw4M65t5ufxf1s8B54AaABAg,Chadwicks passing was a tragedy. It won't be the same without him but I hope they make this as best as they can. Rest in peace Chadwick. It was way way too soon.,2 years ago,@RD-io6sm,UCMk6ZEOCTAq01D4LY8pAxOQ,14K,167,https://yt3.ggpht.com/ytc/AIdro_kEwqAJslpbvRsuthlxBTp2IPE2o-QVbvCollmjcZdhxQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.26725,Black Panther - Wakanda Forever,7.3
UgwY7cOlck5AYeGWis54AaABAg,I'm honestly kinda shocked and impressed that they decided to keep Namor's foot wings. It's not as ridiculous as I feared.,2 years ago,@channel-nv9xc,UCUxHmqCBrwUpKiINdw9Cnng,3.6K,104,https://yt3.ggpht.com/ytc/AIdro_nIwi8zRUud4fd5wNSZveySQ54Nt8IwxTSHiXYxuho=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.268248,Black Panther - Wakanda Forever,7.3
Ugy8ShTUmhMi66bFP3h4AaABAg,"I'm so glad this trailer is taking everything seriously, no jokes, no goofs, only an emotional and strong reminder of who've we've lost and a actor that was a legend and the legacy left behind.

Wow people really upset over this huh LMAO.",2 years ago (edited),@aussakagamine8862,UCgVp3nkCcxAmqZZv5YA6oFA,48K,420,https://yt3.ggpht.com/ytc/AIdro_mEb321lx52moAnyPH12Iin5x9hvpMsYFPAa9oSPLhsgBF1=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.269245,Black Panther - Wakanda Forever,7.3
Ugz55-UzozJcZs1J0Ld4AaABAg,"The first few minutes, with the Marvel Logo rolling in silence, is the most impactful intro of any MCU movie to date. The fact that nothing was playing during the Marvel Studios Logo roll, was so amazing as a tribute to Chadwick Boseman",1 year ago,@District4Studios,UCvsgyy2EJjq-5_ScfDHD4Lw,263,,https://yt3.ggpht.com/StbUNQ6Gf_NIfWeNVAZ4M8UE9AbZVMaZohWbhV4XXN2ZcDuhfYPLytB95OrGSO9x8G-qQwhOvw=s88-c-k-c0x00ffffff-no-rj,False,False,1702409771.270249,Black Panther - Wakanda Forever,7.3
UgwWMmRgAnK7G9EWSpl4AaABAg,I’m here again crying and bawling my eyes out. Angela deserved that Oscar.,1 year ago,@omgbidisha,UCkBy7cxe_BcDRd81aZTArIA,207,,https://yt3.ggpht.com/JnIl1pN9YSCUgkoxsEeRua7WEHV_XJeD9ypd4l2ruFYyuHC1QU0dCMniFjPKSUFbHDG_S1s_2w=s88-c-k-c0x00ffffff-no-rj,False,False,1702409771.271216,Black Panther - Wakanda Forever,7.3
UgzwqvTmxuIXGYQP1gp4AaABAg,I cannot describe how hyped I am for this film. Rip Chadwick Boseman.,2 years ago (edited),@RadiantFilmsXD,UCmAonTX9WH6GONS5DTy1phw,571,6,https://yt3.ggpht.com/SJDYddUH4EKakFYOwnU37Q5nJUwfArxs24VtkGjeySz4YLb1jrdqwilb3tZSNQGt0KDLx6gmVg=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.272245,Black Panther - Wakanda Forever,7.3
UgxPMeznQZvwu_KNbKx4AaABAg,"Can’t believe my song is on this trailer!!! 🥹❤️

Dreams come true 🙏🏾
Wakanda Forever!",2 years ago,@sampa_the_great,UCHPHV1vMBvc-hce4Z5xP88A,1.1K,60,https://yt3.ggpht.com/aR7MgWAynB2idxPOiWawlb8YwgnnQfHhayIYAqSOhOqi7zCgS-iTRin6Y7x1F7czpVBSj8QXuMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670873771.273246,Black Panther - Wakanda Forever,7.3
