cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxQ2vXmppKQqm8MGVp4AaABAg,"Disney, she's not one of your best and most hated villains because she's a woman in a position of power. She's one of your best and most hated villains because she skins puppies",3 years ago,@sananaryon4061,UCRvRI45LlB-Xq3O9nKMuIPw,17K,248,https://yt3.ggpht.com/ytc/AIdro_mnY_2OmugIV0QHuBukLAoA2iPM8jbQNQPc0lCe882fZgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.304154,Cruella,6.7
UgwGhlo6b_njtiJQYhJ4AaABAg,Hope this isn’t another Malificent “let’s make the villain sympathetic and empowering”. Reminder: She. Wanted. To. Skin. Dogs. For. A. Coat.,3 years ago,@FPSGamer48,UClZZURLi3lskvz4FU9e5YBQ,5.1K,91,https://yt3.ggpht.com/ytc/AIdro_nojICloItcYhWI_TLvR8ipyzpRZKR_rcCn6nzNdv2WmpA=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.305165,Cruella,6.7
UgwAuOPPHFBKm2x0r3d4AaABAg,I hope this is a movie about how she descends into madness and not a movie made for us to sympathize her,3 years ago,@brandon1331,UCmGHS9jJuP-mXngrZpyDnVw,3.3K,46,https://yt3.ggpht.com/HLnC2w40Nj-t_KCmA5xGJ8nhQkLPHmX6C1_I4GLui0iMVsPP7qakH4kk4RKUEEqc7HSLgcUHzg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.306164,Cruella,6.7
Ugzv_krlg4TYE2tg9oB4AaABAg,"First Maleficent, now they're doing Cruella. Ursula, you're up next.",3 years ago,@kaitlinmojica9678,UCDXT76oRacAotDYDHTdD_bw,3K,89,https://yt3.ggpht.com/ytc/AIdro_lLAWcgnKdBSRx_J5tsu1He-Y0bVMqSyFCi_RTd_mU_Zlk=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.306164,Cruella,6.7
Ugx15Viwh1vyD9v-DTR4AaABAg,Looks so damn good. Please Disney do NOT pull a Maleficent & turn one of your greatest villains into a misunderstood hero. Let her be bad.,3 years ago,@TommyRoss,UCQvsfupoKyBczqWHBunVbZw,35K,432,https://yt3.ggpht.com/MPkjkzgmasVqFlbsxEMAR7qHP3nkgkPXfDQFWxgMogSy_RGtu5LvqcBZ6f52af86ONrnHOh9mg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.307164,Cruella,6.7
UgxiKPBeeB-CIU-02ch4AaABAg,"this is the type of movie that when you finish it, you immediately want to rewatch it again",3 years ago,@raniasafira5255,UCF1jAPQ9QTBqo1O36ZDlWjg,7.4K,86,https://yt3.ggpht.com/ytc/AIdro_nk2eDBVbMynFEKDbYM9gxepDhcat_oQGOAaIO4tfz1yHla=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.308164,Cruella,6.7
Ugwz9ZVbmvLE0s4BQg14AaABAg,"""I used to think my life was a tragedy... but now I realize its a comedy,"" Cruella",3 years ago,@crazyplantemu1382,UC1CzS8CQv2NyM9Jaor1gxMQ,3.1K,16,https://yt3.ggpht.com/ytc/AIdro_lFq9I_Xrtu1eswrIZKSzQMs9u9MYcBd7CXDo2Buw039w=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.309177,Cruella,6.7
UgxSz9sLvIJKrpQrXjh4AaABAg,"Disney: ""So you liked the Joker, right?""",3 years ago,@DeividManuRos,UCRXRbvJ59eD86tOl4S9U15g,3.4K,27,https://yt3.ggpht.com/PfSnCtjhG2fOBLTL3CjUYynrZf4fBiaJSvakKyWc4yHE3ET1DL9Ea5cnOOj-tGOdj6GDn43l3Q=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.310178,Cruella,6.7
UgyUcCLtIsq-dlULadl4AaABAg,"I hope this is isn't a case of ""she's just misunderstood"" or an ""anti-hero"". Sometimes we just need a straight up villian",3 years ago,@Gcannoli1837,UC4_JuC4eCLE9IcHOQQjiQtQ,6.9K,85,https://yt3.ggpht.com/-kVpCsJanIR46p-ok9jCWHX2jGtBsupHzz_8dZ0xfkROBjzBUAS_HdjJstNWVDHkbQLO71wlsbY=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.310178,Cruella,6.7
UgzJuzGoBgzZ3xneocp4AaABAg,Disney execs- “People liked that Joker movie. Let’s do that”,3 years ago,@brunneng38,UCJY16kbZ4WkutSE5ZeagD2w,3.9K,32,https://yt3.ggpht.com/rztW9N6lIZZJ2Txag1o5qnALH0z27tq_j5aJWxpIGTBvLEsunZIoNM_9c7u3hR--eV8aLM4Jrm4=s88-c-k-c0x00ffffff-no-rj,False,False,1639340147.311178,Cruella,6.7
