cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugzo2dY7hOfTi6huiVJ4AaABAg,My dad was the biggest Dune fan ever (books and old film). He was so excited when this trailer came out. Sadly due to the Covid delays he passed away before it was released. When it comes out I'll be watching it day one and he'll be there with me in spirit. Hope you enjoy it Dad x,3 years ago,@Jojojo-eq6ll,UC4hCU0zMriR4-XJc9CzphXQ,43K,581,https://yt3.ggpht.com/2Z-9NxVumoxOSyLiepCI_VgZeEG9EFnC_p1mS2DWhS2xxeaSDolZG1bvshHn_bvPwtIXvTd7=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.035468,Dune,8.0
Ugzokdn5BmkIWkJEFPF4AaABAg,"“I must not hype. Hype is the movie-killer. Hype is the little-death that brings total disappointment. I will face my hype. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the hype has gone there will be no expectations. Only I will remain.""",4 years ago (edited),@peterstewart1361,UCUBpS7e1BWLPFPvQa0oWGMg,5.4K,68,https://yt3.ggpht.com/ytc/AIdro_nFr3gjogxtAZiZ_NpiKs21dqZs_HsMqD1hwk1R7jt5=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.036468,Dune,8.0
UgwxSR7b2LMjFfl7kQh4AaABAg,This is meant to be seen in a cinema. There's no denying this fact.,3 years ago,@johnenigma8506,UCQ5yRMOQ6FpmFCinjbr_wNw,4.9K,68,https://yt3.ggpht.com/ytc/AIdro_mfbB43E56jspQu4W4Kg4Yf2PLHFTDRFbrDlsusJy0=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.036468,Dune,8.0
UgyhnUT2ZLFhJDKkpi14AaABAg,"""What's in the box?"" never has a nice answer in movies. Pain, wife's head, it's never gummy bears.",4 years ago,@Blake_C137,UCMoYJUtn1kxsfG1q7ehOK9w,7.3K,62,https://yt3.ggpht.com/412e6Yl1vvCyTClN30RYfgs4I9gcttgelfjVIbc8UAVqe-XtP_DSYVhGf0UFTPo5KBCwLIHhTA=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.038468,Dune,8.0
UgxH1ZJ76_5ZJSwz1vF4AaABAg,"If this movie isn't at least 3 hours long, then I'll be supremely disappointed",4 years ago,@LFPGaming,UC9s4rNWZZ6Nh1YhPNltttGQ,55K,420,https://yt3.ggpht.com/ytc/AIdro_kiMwxAwB_RF3tS3fxIogDPjRXg9Qxp_au95Oih93EztLo=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.039468,Dune,8.0
UgwpymCmq3oJ8n4BvyJ4AaABAg,"I almost didn’t notice Batista in this trailer, he was standing incredibly still",4 years ago,@TDItaly98,UCIeMWMrbsk1-721tdjHfnSw,3.3K,29,https://yt3.ggpht.com/jmgWY0zQ3ZRv6pRfz6vmaUamCrq--fIkctt0VyR5FpeAVSx2RFpbkrrv2CODzrr1_qyr6cV6Xg=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.039468,Dune,8.0
UgxXTKNvHbqvEccbJ-Z4AaABAg,"“He who controls the release date, controls the universe”",3 years ago,@shahar_maz,UCYiXQdjJy06nCkEUOb23Z6w,5.5K,22,https://yt3.ggpht.com/ytc/AIdro_nuNlfceTDiBSTQUhxQ56YDJFbBu1DjRfTpJMFP6ck9D0x3tsglom8eMUA2blBLpRVU8w=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.040468,Dune,8.0
UgxrL7x8IkIwrwkYGvB4AaABAg,"My dad's been waiting for this for years.  He doesn't know it, but I'm going to make the 14-hour drive to show up at his door with tickets on opening day.  He's the reason I'm into science fiction, so this is just returning the favor.  (Edited to add:  Yes, I went through with it.  There were lots of hugs and a few tears, and we both enjoyed the movie thoroughly.)",3 years ago (edited),@DannyBeans,UCj6Qo--RI7CRgLE1hteMTdw,6.9K,95,https://yt3.ggpht.com/ytc/AIdro_nms2VWW5_Yx83TGzqwmmU05huNpfnueX1HIVcQ5gk1MA=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.042467,Dune,8.0
Ugxl8NeEfUSU_zEk9SF4AaABAg,It rarely happens: the film is so much better than this trailer.,3 years ago (edited),@AlexRussian92,UCOuGwIOYeO9OfrIs3Agzkcw,3.9K,33,https://yt3.ggpht.com/ytc/AIdro_nBuRuPKdl2mmbFagH-QJsAlwWFQzX6J7lQZ34yOPc=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.043494,Dune,8.0
UgxTuXaTEonhiAmFK8l4AaABAg,I remember everyone saying this would fail and no sequel would happen because of the pandemic. How poorly that statement aged 😂,8 months ago,@earwar1927,UCLRRauaqead9Zueaon9vR4g,154,2,https://yt3.ggpht.com/cHdGF61NXHOBl5bpkNRPGXtc29YC8hIwZzVBv-6NpkO3BbuZzff_jk4uOWcXiRfctBksC2Nc9g=s88-c-k-c0x00ffffff-no-rj,False,False,1712945271.045498,Dune,8.0
Ugyveiq953QpfXKFoMJ4AaABAg,"To clear up question I have seen in the comments. 
- This was originally a book series that inspired Star Wars
- the budget will be around 150 million to 200 million 
- the book is so detailed that it is being split into two movies each around 2 and half hours",4 years ago,@davinci3478,UC4ZfltB5jlkDpIeSjv6aIfA,2.7K,65,https://yt3.ggpht.com/ytc/AIdro_ncV3G10JyzI5LrwrH5cDJG_V5PSnfJ7VmbRj6KX2g0GhM=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.045498,Dune,8.0
Ugwzni8AU-sB6lvy2sR4AaABAg,"Absolutely amazing choice to put Eclipse by Pink Floyd in this trailer. It gave me goosebumps, and it matched the vibe of the movie perfectly.",2 years ago,@sarahsouza5338,UCk9MZFM4-HqwUws1EOI5GXg,1.8K,25,https://yt3.ggpht.com/QVRh87BxLZim60kOW4Yey_orYxlBK6LjhwEwdWV977UIPHwhaPhijtUCZyczfC1lr7uLnHMs=s88-c-k-c0x00ffffff-no-rj,False,False,1670872071.04746,Dune,8.0
Ugx9ptbiYTTVCfCNobB4AaABAg,"I am now a retired gentleman, and remember reading Dune for the first time in 1965, when it came out.  I have DREAMED of THIS production of Dune forever...and yes, I've seen the others and was SO disappointed.  In addition, I have not gone into a regular movie theater in over 20 years...but this October I will patiently wait in line to purchase a ticket at the biggest screen theater I can find which is showing Dune and IMMERSE myself in it...ahhhhh.",3 years ago,@RBoyle-fn5hh,UCtnAYVF1FqyafoYt6XYno9g,2.2K,43,https://yt3.ggpht.com/ytc/AIdro_msGrjSDFS6Ma9E1ptBL-lYIB7bdOrM4PegbUmX7xvG6sA=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.048459,Dune,8.0
Ugzuup6-d-ByoG-T2bJ4AaABAg,"Dune 2021 and Dune 2024 are meant to be one cinematic experience. On that note, this trailer is perfect.",9 months ago,@MemmaJemma,UC9d9M7I_zRi_3Sna7rjV7ug,29,,https://yt3.ggpht.com/tQv4TTNBEo9rkXAfU1UK9lluSk2JC4-s9DRBRh4XTf7H_fUZhXX9Q-x40sczRKqGmM8vw76uaQ=s88-c-k-c0x00ffffff-no-rj,False,False,1710266871.050459,Dune,8.0
UgykPFWjIP4M7UqL7XF4AaABAg,"for those wondering why they are using swords thousands of years into the future:

0:49 most people carry these personal shields on them. they completely deflect any fast moving projectiles. guns are obsolete, but there are beam energy weapons called Lasguns, which are somewhat common. however, they arent widely used because a Lasgun beam hitting a personal shield triggers a massive explosion (pretty much nuclear). so both people would die. 

This led to a unique blade fighting style where you must move your blade slowly enough to enter the shield, but fast enough to outsmart your opponent.


Dune is full of stuff like this, i love it


edit: read the first book. i promise you, if you find this kind of thing interesting you will love the world frank herbert created. it's hard at first to read and understand, but is the best fiction i've ever read",4 years ago (edited),@AfterAttackTV,UCuxU-bxC6vn6_XnZx__L7kw,2.5K,46,https://yt3.ggpht.com/ytc/AIdro_mzzw_QjUmYPGP59AGYZcjJkqinDPSs_Y0QIpFagLB1i-Y=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.051457,Dune,8.0
UgzVj3Z3-HIP69Rg8QJ4AaABAg,"Mr. Denis Villeneuve is out here saving 2020, this trailer is just FANTASTIC!",4 years ago,@JesseJr19,UCoE5eEBEHWox-HGn-_JLSmA,3.4K,43,https://yt3.ggpht.com/o87WeGbWOxo3qqFm9jwazfa1x6J0SpKY4u2Beo7l-UbLGaBttkBKDB-yUkmPo8HXE_QwL0bx=s88-c-k-c0x00ffffff-no-rj,False,False,1607800071.052459,Dune,8.0
UgzjblSkrCNAuPlq4Y14AaABAg,Goodnight Dune trailer. I’ll see you again tomorrow morning.,3 years ago (edited),@lazareto7402,UCgAMWdZjpP68SR3BDkNheHQ,6.4K,22,https://yt3.ggpht.com/ytc/AIdro_lyOVL7iDzefJQAuexwiPmlBS9wEmm6dT9lZtw7jXFb4Oo=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.053458,Dune,8.0
UgwDZMaxzKZvE1JQ6-d4AaABAg,"I must admit, I have become obsessed. This has been the best introduction to a novel series for me since Harry Potter. And looking at how big that story became it was inevitable I'd be swept in by the beauty of another. Frank Herbert is a genius and in spite of this movie, even in the spectacular attempt it has made to echo the story, indeed it is the writing that is the bright moon that sparks the light in this gem. 

A definite recommend.",2 years ago,@ahmedsotsi4005,UCBdnROhUJBNMgXGyfiStKZQ,437,1,https://yt3.ggpht.com/I95j-b5YhlDiiEELQqo75bIVIojnNpuaEs1KwrYE01S174_WBHPfMBrDu5X9yPVmLwu_NO9kMw=s88-c-k-c0x00ffffff-no-rj,False,False,1670872071.054457,Dune,8.0
UgxulFcCQ29GF8l6dLt4AaABAg,"I have never read the books,  never seen the old film. 
I saw this film and was blown away,  it's nothing like any other film I've seen,  a real experience.",3 years ago,@xaiano794,UCFL7CUwbl_xxdlRblRjwwPw,2.4K,25,https://yt3.ggpht.com/ytc/AIdro_kbC3tDeI4bBe0sQ9Y3PoneAQ79eg4Sv-KtS8C4RMk=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.055456,Dune,8.0
UgySnCYfriBBCbiuP0t4AaABAg,This trailer got me so intrigued with the world of Dune that I started reading the book. It does not dissapoint. Now my most anticipated film of 2021.,3 years ago,@nicholasehrhardt9444,UCfftlLcBlXbpprpMO3JvfPg,2.1K,52,https://yt3.ggpht.com/ytc/AIdro_kRNFBQGFOKK2cMM_u_KexMS9roZU3qvlehnxQDLCw=s88-c-k-c0x00ffffff-no-rj,False,False,1639336071.055456,Dune,8.0
Ugzo2dY7hOfTi6huiVJ4AaABAg.9PQQ5qil6nK9PTLQJRRn4N,"I’m so sorry for your loss. I hope you’re doing okay. Know that he is always by your side, I hope you have a great time seeing this movie! October can’t come soon enough!",3 years ago,@jking4973,UCUsb1PjVm5oLXYmqTx-LSqg,1.8K,,https://yt3.ggpht.com/ytc/AIdro_n_r-R61VU0R3atG4kyn_Y2n4NSosUe8TIj1Uj-hiWWbD4=s88-c-k-c0x00ffffff-no-rj,False,True,1639336071.287158,Dune,8.0
Ugzo2dY7hOfTi6huiVJ4AaABAg.9PQQ5qil6nK9PTsSwCUuHC,Sorry for your loss.,3 years ago,@Chuckyboy85,UC1fMlqiRIlvuZMlyBNLQPiA,605,,https://yt3.ggpht.com/jbGxtEVPCe1u4njrl1Nd52Rhwe-ior92YXCvGXpY7XujghJTiwdvsVyBDuC4-9nvI0-Jv8QKn90=s88-c-k-c0x00ffffff-no-rj,False,True,1639336071.290128,Dune,8.0
Ugzo2dY7hOfTi6huiVJ4AaABAg.9PQQ5qil6nK9PZqmRl9XBP,This makes me sad.,3 years ago,@-shakir5152,UCwZNSzC7jjn-lm4CXjdTMMQ,710,,https://yt3.ggpht.com/ytc/AIdro_mE-yYLafuIXf1sP5AMZnd7oGCHrI7ObzUnt7edOM0=s88-c-k-c0x00ffffff-no-rj,False,True,1639336071.293148,Dune,8.0
Ugzo2dY7hOfTi6huiVJ4AaABAg.9PQQ5qil6nK9PceBjt6Z3l,"Honor your dad,  im taking my daughter to see it if I live long enough",3 years ago,@kc-uj9xh,UCRhwS6UkIZNg7xqNM-EQuhA,441,,https://yt3.ggpht.com/xXk08yCmbCMdoB5X7WpzDSVPj0YlQrjpJ7AnsBYqtxoZYVQucA4cPm7Yz_uWMe_4cFPdBlE8Ng=s88-c-k-c0x00ffffff-no-rj,False,True,1639336071.29513,Dune,8.0
