cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgyoJ-A91BUnooP3p1J4AaABAg,Her gift is being the first Disney female protagonist with glasses.,3 years ago,@DeividManuRos,UCRXRbvJ59eD86tOl4S9U15g,74K,471,https://yt3.ggpht.com/PfSnCtjhG2fOBLTL3CjUYynrZf4fBiaJSvakKyWc4yHE3ET1DL9Ea5cnOOj-tGOdj6GDn43l3Q=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.376885,Encanto,7.3
UgxJR3ws21nMzuysYXN4AaABAg,"You know its kind of refreshing to see a main character with no special qualities get treated normally by everyone, instead of being treated like an outcast or loser like you typically see in these types of setting.",3 years ago,@yukirabbit2615,UCB7aMGtsmPX0ekSoMikskkA,4K,25,https://yt3.ggpht.com/ytc/AIdro_nDpgGooH3CBsG03pmIlTFUdtdrl26ds6THdaMi-gg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.377883,Encanto,7.3
Ugx4Y1_se2nH_RwP4yV4AaABAg,"This will end one of two ways: she will realize that she does not need a gift, or she will discover she has the most powerful gift. Place your bets.",3 years ago,@kaveen0408,UCevyD2H0fafdPEnnR62fO4A,7.3K,183,https://yt3.ggpht.com/dV8KZvJSwnB6gc2i6G1MN6a9yCJ1VoRRD761AaUief6SGZ-ZJ-5EimFEWQ8rS8CBdyedXdio-EM=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.378884,Encanto,7.3
UgyCsu44LyKerNT6wsp4AaABAg,I'm just gonna say: The kid who talks to animals is so cuuuute,3 years ago,@barbaramendez6780,UCS5dU0x_Rs9rDSS1hgJz1wA,6K,34,https://yt3.ggpht.com/ytc/AIdro_mfERsomJq-eernK1dyzc5xcdi51jcp-hmz1i4v2BekOLQ7=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.379886,Encanto,7.3
UgzxC1WIKTG91RznkIp4AaABAg,The kid who talks to animals is the CUTEST Disney character I’ve ever seen.,3 years ago,@joyajohnson2216,UCKWWhxgTFPbm1NRVw7l-fmg,5K,30,https://yt3.ggpht.com/ytc/AIdro_l37mjORn1-WzvokOvLOxYfhE6i9knyJNt84UyG2-lv-g=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.379886,Encanto,7.3
UgzjcR7tGUXxBBVfcFZ4AaABAg,"People be like “so predictable, she’s either gonna get a gift by the end of realize she doesn’t need one.” Well jeez it kinda has to be ONE of those things doesn’t it? What else, it’s gonna turn out everyone was on drugs the whole time? Y’all need to realize predictable doesn’t mean bad. How to Train Your Dragon is a predictable story but it’s still very good. Y’all are the reason Hollywood/MCU/Game of Thrones/etc spent more time hiding their plots and throwing random curveballs, rather than writing anything that’s good or makes sense.",3 years ago,@Fantallana,UCNq4N68ImbMXKfFwKUS-pag,2.3K,74,https://yt3.ggpht.com/nGj-YY-Qi-i5Y2IwPW3UelRF95FLJpvMFmYIA2uBZBLspEsiGeTf7uUEaJbvaHAyeKVeaGoZHg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.380889,Encanto,7.3
UgwMgXJqrAY9iih4C7t4AaABAg,For those who were wondering her real gift was keeping it together the whole movie while her family members broke down into banger solos whenever she asked a single question,2 years ago (edited),@cindylee8529,UCNfQ_mk8jDJo2zUrb88a1BQ,7.4K,36,https://yt3.ggpht.com/ytc/AIdro_muGl5Ql4BdDjY8TpMavoFkVjWGo1zWoa6rhrXkGcfIGTo=s88-c-k-c0x00ffffff-no-rj,False,False,1670876903.381892,Encanto,7.3
Ugx0QS1ZVvwgYgBBsvd4AaABAg,"I just finished watching ""Encanto"", and I really need to say how relatable Mirabel is. Never being able to fit in, but also never being able to tell anyone. I always feel like this almost anywhere, and especially at school. This movie really gave me a little confidence about sharing the feelings I've been bottling up. This movie is 100% worth the watch",2 years ago,@m.m14,UCwypMrNahjKK5zJ8g2iQxDQ,2K,15,https://yt3.ggpht.com/Sp-IRjl567XB3d_b-n-HWBVrgMxm30h9KsqXsDDZMYPxlLOFMnHaHihxtBHi9v4FFfeEP1gMUg=s88-c-k-c0x00ffffff-no-rj,False,False,1670876903.38289,Encanto,7.3
UgxGg_db4zfs1ESRLXF4AaABAg,"I feel like this is gonna be a comfort movie for me, I’m in a family full of talented people and my friends are talented too, I’ve always felt dull in comparison and I hope they don’t just give her a gift in the end because of the good she did, I hope they embrace that her kindness, empathy and listening is her gift",3 years ago,@googoogaga7986,UCJXq2nc7eoMTkcB3IJ28Guw,3K,19,https://yt3.ggpht.com/kuXfbEpR2qqwqEGHnLBtAfe-c_3q728xas8_gyL8-hTrNI-UdiLVf2lb6q7ySdi861ErGz_b8g=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.383888,Encanto,7.3
UgwTZtoBByjabwWq0G14AaABAg,"""From the studios that brought you Moana, Zootopia, Frozen , Raya and the Last Dragon etc etc etc."" It's like Nobody knows Disney, one of the biggest studios out there",3 years ago,@anchitbaishya,UCh9eNc_iGvCRdNFrawqHAoQ,918,25,https://yt3.ggpht.com/I6-5rS1NcQktRvo_rN9LFn5jRcad0224pGcwSjqVqBE62NdWPDDXPihdQzT68SY7hPVyLoILGA=s88-c-k-c0x00ffffff-no-rj,False,False,1639340903.38489,Encanto,7.3
