cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgjWJK9ZArjJvXgCoAEC,"""We gave you six years and millions of dollars, and you gave us nothing."" Pretty much sums up the movie.",9 years ago,@gearsguy54,UCnqO5-7KHqVWI0QrIX2JplA,9.3K,34,https://yt3.ggpht.com/ytc/AIdro_kcED-B__aJ6LOJGKqwkEteUSA7wMnxA_f2phzfBDM=s88-c-k-c0x00ffffff-no-rj,False,False,1449952459.376163,Fantastic Four,4.3
UghRUEPIS5AWgHgCoAEC,The trailer was way better than the actual movie,8 years ago,@IceSoldier16,UCBMfHLdHziOUdT8fQljWBwQ,6.1K,44,https://yt3.ggpht.com/ytc/AIdro_nl4l4-XgBLbG5dMzba43oCg6cVL1bj6fFs_kucV2Sw94s=s88-c-k-c0x00ffffff-no-rj,False,False,1481574859.37716,Fantastic Four,4.3
Ugy438q4xBvg1CoKaTp4AaABAg,John Krasinski's under 10 minutes of screentime in Multiverse of Madness was better than the 2 hours I had to sit through for this film,2 years ago,@icedcapplord710,UCtYmP_Rydt679ceB570qzrg,1.6K,20,https://yt3.ggpht.com/Qjbja6i2ZPG5PM97dNYPjTWhdlYG1XLiirY5IyJQAanLAJ8XHHHHjD6FBbUnzwzdqgwv0PE_=s88-c-k-c0x00ffffff-no-rj,False,False,1670877259.378159,Fantastic Four,4.3
UghcQgdLuRL_pHgCoAEC,Just give the rights back to Marvel Studios for gosh sakes,8 years ago,@_Kbinks,UCCK5GbEhwYHiIwtR-vcAM8w,2.3K,44,https://yt3.ggpht.com/FMYmGjCWzInD2QxSGc4pbzYlvFWzOzAcgCq2qTExyWscLQQcbFo3SfMB6rYC4CFgml9JDBAhXJk=s88-c-k-c0x00ffffff-no-rj,False,False,1481574859.379159,Fantastic Four,4.3
UgheLwtf2ov5l3gCoAEC,"YOU could literally take a rock, some rubber, a lighter, a tazer, and a clear bouncy ball and make a better Fantastic 4 movie than this.",9 years ago,@detectivehawk4976,UCtZDvyYR2sSsHALYBcGp4Og,3K,31,https://yt3.ggpht.com/ytc/AIdro_loocHRaS8tDhWkNRcAW46w2R4utl3JlpMoemD8XFMZYtk=s88-c-k-c0x00ffffff-no-rj,False,False,1449952459.38016,Fantastic Four,4.3
UgzTdt7wpyzHv8kDJ0Z4AaABAg,Was the first 4 from along time ago not enough  😭,4 months ago,@Ruben_estrada-f5k,UCk9n_2rc9P1UbSQB1SoYNKg,7,,https://yt3.ggpht.com/Pko7tlzFzM15NKFFYqaZww2eXd6kYRr0ko7BnHC1IXF719odo0qVlxeo6fl_qODVxSjrkJ7ZXGM=s88-c-k-c0x00ffffff-no-rj,False,False,1723491259.38216,Fantastic Four,4.3
Ugig3pm_ZiUgcXgCoAEC,"This trailer was even better than the movie itself, what happened with those cool scenes that weren't included in the movie?, but instead of those cool scenes, you gave us like 1 hour and a half explaining an origin story that we already knew",9 years ago,@Cinamer,UCoLnSKtdqwg46RSJUdUy-nw,2.8K,10,https://yt3.ggpht.com/XhlJ_XXRXL5a-wyY4wTlMRAkIsE2OiYdWycpvJWjMP7gXUgXL5xtUluDGMI3LLVBDDI_H7R5NeA=s88-c-k-c0x00ffffff-no-rj,False,False,1449952459.38216,Fantastic Four,4.3
UgjOCHmfHPScJHgCoAEC,"3 days, first we have Star Wars, then Batman v Superman, and now Fantastic Four?! A good week to be a movie fan!",9 years ago,@Ndoelicious,UCktwFxCjvT9tLec6WmFLHEQ,878,53,https://yt3.ggpht.com/ytc/AIdro_kSQ8oBjCRvZdGp_5fHDWNPz5RaINGB1XolMW_blTS0=s88-c-k-c0x00ffffff-no-rj,False,False,1449952459.383159,Fantastic Four,4.3
UgwYptBniFbEjyPETDl4AaABAg,Anyone in 2024 😊,6 months ago,@AhmadAli-nc4iz,UCwDq13wS-ZJ32-_r80R_ryA,13,1,https://yt3.ggpht.com/ytc/AIdro_lImVEFshLCzwKPwsKil_wI44W3fLO5VgHisdM_-Jtm5ZMsPSMXFTRot9-tSU3zW38Ftw=s88-c-k-c0x00ffffff-no-rj,False,False,1718220859.385178,Fantastic Four,4.3
UgjmaogIrsNTn3gCoAEC,The best scene was the end credits!,9 years ago,@waqar88,UCbIObPuMspO-drvvFXMUZJA,2.1K,16,https://yt3.ggpht.com/ytc/AIdro_lTAG2C-BGLc8HGmCkWzRGXyabEKQ26nS8UNB2pH_uuEg=s88-c-k-c0x00ffffff-no-rj,False,False,1449952459.386157,Fantastic Four,4.3
Ugzb-JXiZpMZLlWeNGt4AaABAg,"The only people who got benefit from F4 movies were the ones playing Human Torch:
Chris Evans > Captain America
Michael B. Jordan > Killmonger",5 years ago,@echarts3710,UCb0SHb3Kx1KrVYmtBQEBFSg,1.9K,14,https://yt3.ggpht.com/ytc/AIdro_kq9W3ruh6RwLIlTkH6YclhVv2Bhw5T-AGvG4R9VKEWmw=s88-c-k-c0x00ffffff-no-rj,False,False,1576182859.386157,Fantastic Four,4.3
UgwGv3ZqyHAOLEOB4q14AaABAg,"When Stan doesn’t even cameo, you know something is sus",4 years ago,@SB43.,UCnzg9TY0V3UylEDZXF9e4nQ,873,11,https://yt3.ggpht.com/ZqOE-8Q4IjdI8IkTN3KkqUeuWQ1ZwZDcMgNHSqBj99SrKvjsEZs1l59fGY3MNTUaBg8FNF7G6A=s88-c-k-c0x00ffffff-no-rj,False,False,1607805259.387124,Fantastic Four,4.3
