cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugy0R175US6ff70aopF4AaABAg,2024 anyone 🫡,9 months ago,@oliverchristoffersen5139,UC7p8Ou057ZppJhr53kXwV_w,354,32,https://yt3.ggpht.com/ytc/AIdro_kUpev3UoxeMEST6HoCvjFH_DgpCCzbrQK_oNUjTkthH2-WV5A-n1zN2EavYE8xZ7xOFQ=s88-c-k-c0x00ffffff-no-rj,False,False,1710272322.090142,Geostorm,5.3
UgzFJxn6gL1bcoCNYGN4AaABAg,The only person who can survive the Geostorm is the Cameraman.,4 years ago (edited),@alec-dora,UCcwRmeLfVZsztgxWehfCzGQ,1.7K,23,https://yt3.ggpht.com/KAVnYVkOTagd4t42_JCLHvyWl0h96E8FDmM5CPu7Nl52U-oW7aFzJRwxvKAWT3AP7m-TZYQHug=s88-c-k-c0x00ffffff-no-rj,False,False,1607805522.091143,Geostorm,5.3
UgwJVjUTsD2oLmcpASZ4AaABAg,"""a normal day in 2021""",4 years ago,@DhanushS273,UCbWKRFoVGPysj3SBVg80B9g,1.6K,44,https://yt3.ggpht.com/EueB7Qgniu8su1dbmPrOXUS6qsRf_M4s3iRP0R1bJR970EkUqNi1DokZGTj6lMlCLP0pGCROmA=s88-c-k-c0x00ffffff-no-rj,False,False,1607805522.092142,Geostorm,5.3
UghY2InoocdD53gCoAEC,I like disaster movies,7 years ago,@charmingmohammed5250,UCskndGpTuKUPZqRxlEC1WjQ,10,,https://yt3.ggpht.com/ytc/AIdro_lhawaNZroyhY2LnLL0GFm1QrsYSXrOAhC2w4GZoEz1eJE=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.092142,Geostorm,5.3
UghGS02xoDkwaHgCoAEC,The music ruined it,7 years ago,@utkarshtalwar102,UC05dA3KMllHvbLFauT66tfw,13,,https://yt3.ggpht.com/ytc/AIdro_m66MO2idTGnkuAYGpxRwUa54D4x1zikXoRui0Q7IZdvG8=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.093142,Geostorm,5.3
UghgXt_uqFiHWngCoAEC,Cloudy with a chance of meatballs 3 is really getting serious.,7 years ago,@FIREFLIESYOUTUBE,UCyM7pyYqolhif58-PFwR2Hw,2.8K,18,https://yt3.ggpht.com/HEnld5pi6IJiNgIO0UQPjqUGOBGnXiQqg1hbixx1XITY-MyYLV7xG4WENb-RWBQAwhKYD_pR=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.094142,Geostorm,5.3
UghyMKza6CKObngCoAEC,But someone had to make the codes and give them to the president..,7 years ago,@ThecrazyJH96,UCCY97YymTBzSQRbzCyWvEVg,3,,https://yt3.ggpht.com/1RJ99oDzM7hd5FOfZVUVeAS2-tmUdQJT48vpHVXdCphWiCEM98Tt2rAMybfRL2cPtxY8_5gzwg=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.095142,Geostorm,5.3
Uggqp-5510oJK3gCoAEC,the first trailer looked way better,7 years ago,@alexhein1738,UC_AAw29hclHbkFN9nT0XOkQ,69,,https://yt3.ggpht.com/69QwMiRqkz8EYaYGaEbYKQj284qcvBSMfNq4NnfuG8iElhYayaqNrMOEsmjXcR7556wIWKIdUg=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.096142,Geostorm,5.3
Ugh17kF_7K4Au3gCoAEC,cloudy with a chance of meatballs IRL,7 years ago,@marinezs,UC9yvyCfedLsdVynKo14cqZA,4,,https://yt3.ggpht.com/mxt-zt9uQLv2EGiZ5Zug0h9OLusDp0z53l8ns9jfSmEA5PmyVR6M3AdeJI4qjSx7LtZeZiFQyQ=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.097142,Geostorm,5.3
Ught1WXICvOMKXgCoAEC,"We went from a dark and gritty teaser, to a action-packed yet comedy-like trailer. A pretty strange transition there.",7 years ago (edited),@Aquarius199,UCmL4a3gPL9FpnwKvKvuYjfg,3.4K,47,https://yt3.ggpht.com/ytc/AIdro_kj6qL9be1IsYZqjQy-NiQ0kuVwa6VPwCgjwaqcWeS7LoY=s88-c-k-c0x00ffffff-no-rj,False,False,1513111122.097142,Geostorm,5.3
