cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgwO7IjjvFojvmArGSN4AaABAg,I'm so happy that Rocket is finally going to get the backstory he deserves,2 years ago,@rexwalker9942,UCS4deORQ--G0TulBNQ4HVKA,82K,369,https://yt3.ggpht.com/o5f8--KrCH1xM4s4gqsDWaqtZXCoc3dnPyHFFhhflDGlOy0a0z09HWhQgCw_GwZ-7XdQRyJ3=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.070139,Guardians of the Galaxy Vol. 3,8.0
UgzwCcnWN0loqtdiOPh4AaABAg,I love how Nebula is now a member of the Guardians making up for her past mistakes working for Ronan while also trying to honour her adopted sister,2 years ago,@williampulfer-melville8536,UC9I2qxt2skaDJWmkdYJhlKA,16K,76,https://yt3.ggpht.com/ytc/AIdro_nQMG44YppdX2F0HWCUiZ4OSp3QNGQwRAe94GJdick=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.071146,Guardians of the Galaxy Vol. 3,8.0
Ugx_cW510BdjuZYVEoB4AaABAg,"My fiancé passed away March 14, 2022 in a car accident, and Guardians is one of our favorites to watch, and wanted the soundtracks to play at our wedding. Having Spacehog in this trailer made me bawl my eyes out, as it was one of our favorite songs to play while we were cooking or dancing in the living room on our days off together. I like to think it's him saying ""hey, I'm still here."" I cannot wait to see this and feel all of the emotions.",1 year ago (edited),@worrell32,UCvzxENY94yuYs_SIQkkqVIg,4.1K,134,https://yt3.ggpht.com/ytc/AIdro_kMkB_luev0XRlEaxmiUCIkF4ibBjLCui7yWeQXEVtpKKg=s88-c-k-c0x00ffffff-no-rj,False,False,1702409357.072145,Guardians of the Galaxy Vol. 3,8.0
Ugwd3PjZKpZ7nMCP2-J4AaABAg,"This is one thing I love about the Guardians movies; they are comedic at its core, but also know when to hit you with the feels",2 years ago,@HazzardousEco,UCCDWVejNyTugjMvF_Gs4JAg,10K,60,https://yt3.ggpht.com/Z9e9vRpQOqarbmC3YTKkwKa8kSxn4r0VziV1wxhr12If9jvfzAeREA4I8rGw-1d0Cc4Vr8l_fw=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.07314,Guardians of the Galaxy Vol. 3,8.0
UgyMUC_QBlYjOWqTSsF4AaABAg,"Two things: 1) Glad Gamora is finally making a reappearance, and 2) that “We are Groot” at the end honestly made me tear up a little 😢",2 years ago,@Hallows4,UCAWvU9q-Rw2Ij-gTKc9mUfQ,3.4K,27,https://yt3.ggpht.com/ytc/AIdro_n7r_ZC-YqWJUBl4mHlx5ylpICkgoREIAuO4VK5DhI=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.074147,Guardians of the Galaxy Vol. 3,8.0
UgwXm1Gbp2gQQB9SPxF4AaABAg,“We’ll all fly away together” really had me in the feels 🥺,2 years ago,@madsartsy,UCmBO1zbP5pAz4fOPH73r-Qg,13K,59,https://yt3.ggpht.com/6iGlfe8RrRBkfi7K80-Q_C3TaQzqv6oaRgA6tYifCETErijRldU-UC1Km3vXqDM8ZB99f5EF=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.075146,Guardians of the Galaxy Vol. 3,8.0
UgxwJNjCxvYVMoHn3d14AaABAg,The fact that we know this will be the last GotG movie with all the original characters makes this a thousand times more heartbreaking,2 years ago,@thatcolouredkid2099,UCzK-jaNzjDf9CECpW1cmusA,3.3K,29,https://yt3.ggpht.com/ytc/AIdro_lv0OFps6rQfOJXt8we0yI9P8dnXzZOfyhHIqURAjzP3hPbyhf73dY6hsoaN2U8skzHMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.076146,Guardians of the Galaxy Vol. 3,8.0
Ugzne3iKCO2Z796Bstp4AaABAg,You know it’s a good movie when you come back to watch the trailer,1 year ago,@Brownie72,UCCliIfImYTMFsW86BUGR_qQ,3.7K,43,https://yt3.ggpht.com/ytc/AIdro_kuJBH4t4x0bD0_aMh64gr1rNWnKpuRwILrbgmsA4-5RMU=s88-c-k-c0x00ffffff-no-rj,False,False,1702409357.076146,Guardians of the Galaxy Vol. 3,8.0
UgzvlcK1NkqeRBKWmtd4AaABAg,"I just watched the film and let me tell you that Marvel really isn't kidding when they say that this is one of their best films. It had Endgame level emotion, heart, humour, action sequences, classic soundtracks...the whole package",1 year ago,@KeziahC384,UCzy4J3ozQL3tqMjW-kqeVvg,5.8K,80,https://yt3.ggpht.com/Un3T0L_f18FGiUTHchkQ6vM6zWL2_5OzH-KsqhRSq9UpwQPzum1BLMaBYxlpOSP48SSF1jPDcDc=s88-c-k-c0x00ffffff-no-rj,False,False,1702409357.077146,Guardians of the Galaxy Vol. 3,8.0
UgyhPz_0rZPszPkKIq14AaABAg,When Rocket said “I’m done running.” It gave me goosebumps.,2 years ago,@DOOMStudios,UCv2Z1QuyJZxi8ARmaBJ_itg,4.1K,72,https://yt3.ggpht.com/Pu9hBQYCNoJcCZIEVmyasu619xd2kh1O1_u2rNkg4XI-ZEXpwtuk5muorYzpsZAL3nZlL-NiVJo=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.078145,Guardians of the Galaxy Vol. 3,8.0
UgwVaPSGFbRzgqRNQf14AaABAg,"I got chills when Rocket called Quill, ""Pete."" When has he ever called him by his first name? That really stressed the importance of that moment. Almost a sense of finality.",2 years ago,@bamboosho0t,UC4d_EdLIOHeGHJWxPstAoqw,9.6K,58,https://yt3.ggpht.com/WS8M9UgIj5pJ2XAt8VSoE1vlRxztse0QMvV_utlq4Kahqdc0MkF71tLblX0_MVm7SSjpV_x3kg=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.07914,Guardians of the Galaxy Vol. 3,8.0
Ugw9rx2zwCD4iMGZgat4AaABAg,This movie was magical. I never thought I'd cry in a sci fi hero movie but the moment they saved ''regular'' animals I was in tears... Rocket is the best MCU character,1 year ago (edited),@aliyigitsanl1967,UC0quTNrkDHvNVLVHRXV4jhw,762,8,https://yt3.ggpht.com/ytc/AIdro_nV0Zqbr9z_MLLQrjGi_uBN2xMaw7OXOFs9Uw7KKeB6hLE=s88-c-k-c0x00ffffff-no-rj,False,False,1702409357.080146,Guardians of the Galaxy Vol. 3,8.0
Ugyabgip8ExtPx8nIF14AaABAg,"""Pete, I'm done running.""
I can already feel my heart breaking for Rocket. It almost seems like, to me at least, that this may be his ending.",2 years ago,@Eques_Umbra,UCKFgGdV92sd2C_a8ZK6gXxQ,4.9K,69,https://yt3.ggpht.com/dIFZ4b-8fuVOhnDBhlkZ3J99faOCijDZKmFK1i6oXxUEfxePnV91Fe0KzgdKpQqm_v5TKklIeQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.080146,Guardians of the Galaxy Vol. 3,8.0
Ugw5rLmHwqk9gDDjmRx4AaABAg,It's amazing how this group went from having a C list characters that not too many people heard in the comics to a huge A list characters in the movies aswell as became part of pop culture in various media. Goes to show how absolutely genius James Gunn is in taking care of these characters,2 years ago,@800Ms-k6n,UCJ2TdNkUpPWLXEZisZGKy0A,8.5K,79,https://yt3.ggpht.com/qi2TKqZgTNhBhrbnpImTayfRS0znOAtqoZmtyIK7SpOUdWuvuUyEpJRgYDEmiEQMrEo8GIjRhA=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.081139,Guardians of the Galaxy Vol. 3,8.0
UgxdUQiXuvjNqbVvcDt4AaABAg,"This is cool that they're in their original costumes from the comics, always a pleasure to see marvel go back to it so iconic character designs",2 years ago,@Scarlettspider-h4v,UCDlVj30EogOfrn8UJsnsPAw,4K,26,https://yt3.ggpht.com/urdo0fbKqDjNkdvtSUoNZJqFcs9BQdBx8Q7QzVVht22yzYD69ZRpgYmK1u3v7ZGAfMeInnY3qmE=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.082146,Guardians of the Galaxy Vol. 3,8.0
Ugy3dUR0rU-8mqvvtZ94AaABAg,I love how they wear the colors of Yondu to honor him.. Which also matches to their comic accurate suits.,2 years ago,@awwen_lopez,UCokui3CkjsqMdROjsxMoLnA,4.6K,31,https://yt3.ggpht.com/wU94pbdgZrM25lwHaJjlZVC8ZmE7H1QVhBRb9YlQFMTyij4v3ddbO_n670ZbjlGJYgl9_26b3w=s88-c-k-c0x00ffffff-no-rj,False,False,1670873357.083146,Guardians of the Galaxy Vol. 3,8.0
Ugzyu1u-tAnX_ehMeqV4AaABAg,I don’t normally cry at films but this was genuinely one of the saddest films I’ve ever seen. Everyone says Marvel just throws jokes into almost every sentence but they put all the heart into this movie. I’m genuinely not sure if I can ever bring myself to watch this film again. Well done James Gunn,1 year ago,@bengilhooly3616,UCZQRnAA-9kuyPCngxecsHSA,755,6,https://yt3.ggpht.com/ytc/AIdro_lFZyhQM-oRE-U3IjyT4A6SpKK_edNOCV8laOvvbDA=s88-c-k-c0x00ffffff-no-rj,False,False,1702409357.084147,Guardians of the Galaxy Vol. 3,8.0
