cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgynG1Lq3E8Gs2_t3bl4AaABAg,I heard it was so good people were walking out,5 years ago,@nebulous8389,UC7S3b4-Ndnp0hq7QUF66-Og,3.3K,36,https://yt3.ggpht.com/ytc/AIdro_mf0qolrva1vCA1vfURkcGkRABCavVnLAtLZPEw7wwHr-o=s88-c-k-c0x00ffffff-no-rj,False,False,1576182769.130136,Holmes & Watson,3.8
UgxPJZ8UnpD612Xcswl4AaABAg,"I get worried any time I hear ""the boys are back in town"" in any trailer",6 years ago,@neravarmemesandareumadbro9790,UC7gEtPIDPp1rXw1mu1yKhmA,891,17,https://yt3.ggpht.com/ytc/AIdro_lmhFuvZ07N-eWydfhIJvbSyQZehNSsBfb_RIubbyLXvoU=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.131138,Holmes & Watson,3.8
Ugz3QS9JYUZ7aACgq9Z4AaABAg,This movie is hilarious! Best joke so far is the fact that it exists!,5 years ago,@Whatismusic123,UCJNOS0jC07qNKJw4c54JHKg,1.7K,11,https://yt3.ggpht.com/tz7i-9vplroMdTl3mFRYj_hEXqIxY5Hr7GXJkDnX-73A_KG1zxFxLN7vLsrWR4pfH6Q1hixRBg=s88-c-k-c0x00ffffff-no-rj,False,False,1576182769.132136,Holmes & Watson,3.8
UgwYtsitqKtsTfVtm5J4AaABAg,This is what happens when Sherlock Holmes becomes public domain.,4 years ago,@playthatfunkymusicrobot,UC8RN64KYGhi0LyaAy6QDLQQ,249,,https://yt3.ggpht.com/ytc/AIdro_natcQeEg2P7H-b5EMvV-3wfU-_bYb3yh6KoGuTafo_HPg=s88-c-k-c0x00ffffff-no-rj,False,False,1607805169.133138,Holmes & Watson,3.8
Ugxmn0EwOT25vslDX4B4AaABAg,Boats n holmes,6 years ago,@toohighstrung,UCGlmG6XziTwO6HEk98ajovA,853,16,https://yt3.ggpht.com/vp-o7ffj2gpePbSghmq-kPK-eHj8QOzgmzwm16OMEbR1n6B2XMwKPTFgmSajjUPINgREvgvW8Q=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.134138,Holmes & Watson,3.8
UgyvY5QIQPXF3JPcLYp4AaABAg,The amount of negative comments are making me want to see it more,5 years ago,@whippet154,UCgjRzamI7YDka9bqOG7cLZA,583,14,https://yt3.ggpht.com/ytc/AIdro_ntDDJbnJkda-r0XIka56fq2s6gca1EQ0mas6eJAfdlbfs=s88-c-k-c0x00ffffff-no-rj,False,False,1576182769.135137,Holmes & Watson,3.8
UgyF9bqeysmJBbi6GWh4AaABAg,There are now 5 Watson's in the mcu,6 years ago (edited),@therealmichaelgarcia6113,UCZvP3VkxlLbyS8kKrGZ6DzQ,1.4K,35,https://yt3.ggpht.com/w9ix0_UfSj194rhP8_3efVV9DVnvwJFONX8q91-2ja_5YtsFrtyyjripslR78rAOItJkFZyP=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.135137,Holmes & Watson,3.8
UgxReeyk7O-TlFgCa3F4AaABAg,"I kinda hate it, but it did get a laugh when Watson tried to dual wield on the bees.",6 years ago,@emperorpicard7222,UCBZZCn4hHdXX_dNqf-HSmJw,875,13,https://yt3.ggpht.com/ytc/AIdro_msAkfpjvz7O5-Wt7vKQ94DAC6b3fTMyXfwi5iDObM=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.136136,Holmes & Watson,3.8
UgyyhtscT_FSK3-Sn3d4AaABAg,"Not kidding.  When I clicked on the trailer, I thought ""This could be good, but not if Will Ferrell and John C. Reilly just start screaming all the time.""  And what do they do for the first five seconds of the trailer?",6 years ago,@PaperbackWizard,UC6o6wLdpQ9IdJNkb3Exz6Zw,377,6,https://yt3.ggpht.com/ytc/AIdro_k0N4urhe5HLDs2rPVT9IpHCVrmiOmC8lgh9TkVk8zbopI=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.137136,Holmes & Watson,3.8
Ugz_mKzmne7BoFcxsfJ4AaABAg,Love these two together but I’m getting a bad feeling about this one. Hope I’m wrong 😬.,6 years ago,@davidmoore4222,UCsIYJg5SiJxHfng0B2keuQw,293,1,https://yt3.ggpht.com/ytc/AIdro_kcNUVxwQHiisLrNkR4YYVd58lQYXwSFhLGacCSW_wK1Mo=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.138136,Holmes & Watson,3.8
Ugy8t-ighbV9PTb_osp4AaABAg,"This looks absolutely terrible and horrendous.

I will be there opening night.",6 years ago,@SpectreGray,UCpdWApLK5i-hTOJWMRX6FmA,8.6K,61,https://yt3.ggpht.com/ytc/AIdro_k0ONa1nuYOAhPXu-4jAiopkdvIPnnMlT9ExNggKBAIRA=s88-c-k-c0x00ffffff-no-rj,False,False,1544646769.139137,Holmes & Watson,3.8
