cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxH4lBuZhVQ5ohlQoB4AaABAg,I like how at this point The Rock just plays the same character no matter the movie he's in.,3 years ago,@Giferis,UCTWTgaLrPoOEK3VR_oqEHIQ,5.2K,94,https://yt3.ggpht.com/XVosVk7BelOkwscAEaBKr74eUq8A9khn6Oy7WO-iS21SwGH9VJ3jDGYdDW_I3kzsFpBX7xdjaw=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.322642,Jungle Cruise,6.1
UgwlEkce_2IJcZ4LilZ4AaABAg,"Finally, a movie with the Rock in the Jungle. It's about time.",3 years ago,@MrBenespam,UCkLJozfB1laQCV8oUta6g9g,3.7K,49,https://yt3.ggpht.com/ytc/AIdro_n_xDgo3CCei4ZMbAYs-MZCmlYoOq3tMd7yNQ15vh8DUg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.323648,Jungle Cruise,6.1
Ugy1RONAsaWVDEZUuvN4AaABAg,"After watch this trailer, i feel it's like mix of Jumanji, Pirates of the Caribbean and the live action of Atlantis the Lost Empire",4 years ago (edited),@FANESTOFilm,UC21IPtrO-p5fQEVW3F7w7UA,2.5K,44,https://yt3.ggpht.com/FoWQLJLljNSHZT-MhuCHu0ZqPUGfNj-_8R-r3EJX0pOVL7NPBdv38e4081krW_dGHWX8tTbmnA=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.324644,Jungle Cruise,6.1
Ugx_y6Gzl_1WQKH5TtV4AaABAg,The Rock slowly working his way up to play Tarzan,3 years ago,@b-rye223,UCjEsQ96biuOHxZz8bHublag,2.2K,22,https://yt3.ggpht.com/ytc/AIdro_kMMgfuF1aGhSLb0BwFZVA7XkmX-qtxJ2kcFkm8UF1Efqg=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.325649,Jungle Cruise,6.1
UgwBgefPLq-sK3EB8wF4AaABAg,"This is basically Disney‘s attempt to make a jungle movie like “Jumanji“ and make as much money as it did, since the new movies were the biggest competition in December 2017 & 2019.",4 years ago,@adamantium9550,UCP-VKen_QV7CKAke05eK32Q,732,40,https://yt3.ggpht.com/ytc/AIdro_mgJSm9TU6p13tlFtXegscIExw2SuXwV3ORscjIzzjprxs=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.325649,Jungle Cruise,6.1
Ugy8i7D2PzczbjONrSJ4AaABAg,Who came here after watching the movie?,3 years ago,@groove1093,UCl1tB0gtDTHTyC3fMRCPgMg,7,,https://yt3.ggpht.com/ytc/AIdro_lVqQZwDW3-dueY7H_a3RgWpObq0fSCW5WpCJNj0BvSAQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.326644,Jungle Cruise,6.1
Ugxwvl0vi_xh9jryx_J4AaABAg,"If a movie has ""Jungle"" in it's title then ""The rock"" is definitely in it too 😂",4 years ago,@GunjanStark1991,UCXF-R44tGWkNiC6sh5kvBGw,2.5K,51,https://yt3.ggpht.com/u9FagSOCCdxR6QHwmNnJyVZOOqrwIwyPYb5oKr9CO61pwZmwQG2uichxaqW8-rb-xhsCQ3fTpy0=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.328646,Jungle Cruise,6.1
UgwzFYQ4C4KY4Qo2NAV4AaABAg,No Giamatti in the trailer?!,3 years ago,@jbachman01,UCRM2V3L8cSdIpAqm1kurcDw,1,,https://yt3.ggpht.com/ytc/AIdro_lkmFfTueeRkA3vfgFoXi6aJ7q-8QjaH_dRcksAmI6fpow=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.32965,Jungle Cruise,6.1
Ugzpo66EnZ5obvGAcqJ4AaABAg,he really likes the jungle,3 years ago,@callumfohshow,UCCEVahHbZP0G2e7KP70bi7A,2,,https://yt3.ggpht.com/YwER3m06lCciZxSXmzGJZRBW_j_VN9YLob7G5an6x5ZMX-WXQQgmTDKB4wYblmi8D-kPEcAI=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.32965,Jungle Cruise,6.1
UgzfdHNFdyP5K8CPS8Z4AaABAg,When Jumanji meets Pirates of the Caribbean... Jungle Cruise happens !!!,4 years ago,@rohangarg8287,UCa8-I6cs-y8NcC1NN3GbDBw,743,19,https://yt3.ggpht.com/ytc/AIdro_ma0uc7imXH_2_MOHhYH3Hbupnp5u6_NcsMvtPfqRpIjEo=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.330647,Jungle Cruise,6.1
UgwT4E5-uYGdBw31tiR4AaABAg,"WWE : Dwayne ""The Rock"" Johnson

Hollywood : Dwyane ""The Jungle"" Johnson",4 years ago,@vn8197,UCF93s9nMMrR-0McXCnCKuag,689,4,https://yt3.ggpht.com/ytc/AIdro_nCG_5vW6lRpMUlpdh6HY9V85TBzPP8NYUDbEmxicUu8nI=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.331648,Jungle Cruise,6.1
UgxeA3P1EkEcjk7o-bB4AaABAg,"Dwayne: I like the jungle
Disney:here you go another jungle movie",3 years ago,@brianstarns,UCA8wDNJIzHuLaXnwJX1ptgg,2.1K,13,https://yt3.ggpht.com/ytc/AIdro_l1CnrSoRg-vk01ujXMaOdGpjqEDoUwoxXvInLW7UI=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.332646,Jungle Cruise,6.1
UgxvprwxZrwFG6W8KgJ4AaABAg,"finally, The Rock and another one of his variants",3 years ago,@jellygaufo9400,UCMhu7397oYT9-F802AhwyBg,481,2,https://yt3.ggpht.com/ytc/AIdro_lDg6Dse7_OnhdiATsMRPxNKPFyTk3mDfG9ALOjW_r8Q-g=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.333649,Jungle Cruise,6.1
Ugzqztg43K16FrjVcb94AaABAg,"Marvel: marvel cinematic universe.
The rock: rock's cinematic universe in the jungle.",4 years ago,@ravikambimath3522,UC6nnGTQ9ldnLMCWBPVFvxQQ,1.2K,5,https://yt3.ggpht.com/ytc/AIdro_kRa2O6wlTuzU3Pz7ad9u4UD5EiCw8JwFXszdIcQto=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.333649,Jungle Cruise,6.1
UgzO2Afz4lTRrGmXB_94AaABAg,"Producers: So how many jungle movies you wanna make?
Dwayne Johnson: Yes",4 years ago,@amitmeena1596,UCmpEajuts-fnpA1ykpkm3sQ,2.1K,9,https://yt3.ggpht.com/ytc/AIdro_m2TupTu3gZPjLvPm7SiQQ9JbGlnNIH7cir_34Bxzs=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.334647,Jungle Cruise,6.1
Ugx5L3b-c3bhqasXFp94AaABAg,"This movie is a great adventure type.Those who love pirates of the Carrabian, will definitely love this movie!",3 years ago,@ati3armyofrobots,UCMC8uPIsPtB8jo9GQDVHd7g,451,11,https://yt3.ggpht.com/7jMsMN94UO5Enxbfvz1kEBxdMUaPrUVcnkee9Qa40Sl78z81PHzyLw8fvBIlQCfizsYp9VoUCx4=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.335616,Jungle Cruise,6.1
UgzqPiQj8aYzV2wGZtF4AaABAg,The real Jungle Cruise at Disney World sank to get this movie the attention.,4 years ago,@gissneric,UCZfBkQ7_3-ytmoPcRz4POwg,529,8,https://yt3.ggpht.com/-zz7-mLO-YlBNXIKWH_a83T76dyw5kdHdsKTtIks6fn6Vv6XhR7wt9Tf8VHAVdNchzf1dHneBQ=s88-c-k-c0x00ffffff-no-rj,False,False,1607804339.336616,Jungle Cruise,6.1
UgyhLI0w9SmC_VYIgWJ4AaABAg,"I just got back from seeing this with a friend expecting it to be super corny, but it was a ton of fun, had good humor, great actor chemistry and had some emotional moments as well. Loved it!",3 years ago,@nightmarishcompositions4536,UCPPs1eOzsOqcz5ey5JjGSbg,1K,14,https://yt3.ggpht.com/h78wKQjrQLm6I3NLljq0Ppjmw1MAaQ5CGXPqfog-0tC95p3au1VnFYEglz42xbt9mo10wYvR3A=s88-c-k-c0x00ffffff-no-rj,False,False,1639340339.337619,Jungle Cruise,6.1
