cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgwtsRFdOSzaxFnAvtl4AaABAg,Watch Mission: Impossible - Dead Reckoning Part One on Digital TODAY: http://paramnt.us/MissionImpossibleDRP1 🏍,1 year ago,@paramountpictures,UCF9imwPMSGz4Vq1NiTWCC7g,225,19,https://yt3.ggpht.com/he07mVZP_5MHsoC6-QXUdtEQANABjRnkxBrjOCBuAwTOxlCO6pgMcS3hAYYPgdZNncFj4WBBdfE=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.787395,Mission - Impossible - Dead Reckoning Part One,7.8
Ugyi8uuPlwOBr1CbXCd4AaABAg,Who’s here after final reckoning teaser👇,1 month ago,@Shlokyiscrazy,UCZS-IV0ApDLPprUk58GHfuA,176,9,https://yt3.ggpht.com/dF_7kPuoSBP8QGm9fnL6c_Fk4ydZolqu67PZOfCowQ6iyHE19lYwR9hXNc4aj9GGbpkcHQmskw=s88-c-k-c0x00ffffff-no-rj,False,False,1731440764.789403,Mission - Impossible - Dead Reckoning Part One,7.8
UgybVc8tyZOtLUyqtxl4AaABAg,MISSION IMPOSSIBLE 7 >>>> BARBENHEIMER,5 months ago,@beyond3613,UCdefGR-EhOnO3zn72ax_OgA,508,11,https://yt3.ggpht.com/FgwAFTTNbat7lDCFU-4jOssJ1jNqJBBvPk8xfR-4mp_WRxgWb6du1vLKU2Nks1rXu8jmNvot=s88-c-k-c0x00ffffff-no-rj,False,False,1720809964.7904,Mission - Impossible - Dead Reckoning Part One,7.8
Ugydxz4eSIdOqPEu04t4AaABAg,"This franchise somehow keeps getting better with every movie since #3, it's insane!",1 year ago,@WatchMojo,UCaWd5_7JhbQBe4dknZhsHJg,19K,272,https://yt3.ggpht.com/ytc/AIdro_kcVj7cIhHdbJ20HLfzxbMMv15HW3k4y4Tp1rw10ilfz8M=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.791401,Mission - Impossible - Dead Reckoning Part One,7.8
Ugwgqdff35y6epHrQvN4AaABAg,"I love how Mr. Cruise created a franchise that is so similar to James Bond but so unique that it stands out on its own and has grown into a masterpiece. Way to go, Tom!",1 year ago,@allabouteverything33,UCvUVFUQWU4cz1srOCIYUrIA,2K,26,https://yt3.ggpht.com/3V4MyCbZ2_3tqBxh18CtLiueu4Mvpn_roAhLwxMYbfy3lXeU2yvY6Ddi5lQILU5F8wqr_KXLTw=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.792403,Mission - Impossible - Dead Reckoning Part One,7.8
Ugwu-S5Eou9Wu8cbDv54AaABAg,Cannot describe how hyped I am for this film. LET’S GO.,1 year ago,@LordStarscream100,UCixeDu1vfCmod2oOabL2jsA,8.8K,132,https://yt3.ggpht.com/vmbC5Fuxpu3xVPdqwUJdq6Eqg8EhlltPrtUJzZo37292wUX5KI63eyIqfSHHhxcRPqCuAjoRng=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.792403,Mission - Impossible - Dead Reckoning Part One,7.8
UgxZPoGJx9MONVRsDvp4AaABAg,The fact you know that stunt at the end is 100% real and done by Tom himself is one of the reasons this is one of the best action franchises ever.,1 year ago,@raviahuja9287,UCgCwQWrL9b1Yp23w5S3PqJQ,1.6K,52,https://yt3.ggpht.com/ytc/AIdro_nVjmTutWYTZgtNNs4RrNHAJR7LmVUzmMnD_PdrFtXXNw=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.793403,Mission - Impossible - Dead Reckoning Part One,7.8
UgxYA1VfyXrDIFYX8Pl4AaABAg,"Tom Cruise is the textbook definition of a summer blockbuster.  Now that he’s 60 years old I hope he’ll be with us for a long, long time.",1 year ago (edited),@BurgermeisterMeisterburger-v7x,UCaqpLEe6hP6xDdpaat1qpIw,2.7K,30,https://yt3.ggpht.com/ytc/AIdro_k2Z6xibrg89ceTOo7QwIhmWgTtrF_4kXgPI5mFtPQPS_pSZElk3qsj1WdP_NCQ-9WqQw=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.794401,Mission - Impossible - Dead Reckoning Part One,7.8
UgzWC1TxMkSHUQqFjx94AaABAg,Very consistent action franchise and Tom Cruise 60 years old and still doing his own stunts what a legend,1 year ago (edited),@jamesmorant1406,UCNQsubv0BPyIkpjEeOd5AGw,1.3K,22,https://yt3.ggpht.com/ytc/AIdro_lq7PpicMi9XAAsUORKST5U-xv3lZ5NVWxHD2SFUV45=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.795401,Mission - Impossible - Dead Reckoning Part One,7.8
UgwatddfXNLe0QcSQfB4AaABAg,"Confirmation Tom Cruise is the greatest actor, stuntman, producer Hollywood has ever seen. And somehow he never seems to age a day",1 year ago,@leokimvideo,UCh-sQC1L3J7xicFO1Bo5DeQ,3.7K,102,https://yt3.ggpht.com/UvzzkQLzP3OFfkEa5FjqX4BM6_vfA9bFgPX6DotH9bHRneqZWtxgFr5Xg2Hpxq-3wx5X6oIw=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.796401,Mission - Impossible - Dead Reckoning Part One,7.8
Ugx9cJp37k6L3J9hgRt4AaABAg,The Respect that Tom Cruise has for his audience is amazing.. his movies are always meant for theatrical experience ...never lets down.. Keep going ..Tom!,1 year ago,@pavanhr1,UCrtB8JaEIRfbJ8f5X8yXf3w,2.5K,16,https://yt3.ggpht.com/ytc/AIdro_lxa27R1LjgUg5BDq9Dx_uB_z2z8S4YItcqUY2lDj3N6Jjp=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.796401,Mission - Impossible - Dead Reckoning Part One,7.8
UgxL9PCrZtWEFWWfUEJ4AaABAg,This franchise just keeps getting better and better with every movie. Respect to Tom.,8 months ago,@RealTupperware,UC1HU5XinyQ0C_vAusQfLzhA,167,,https://yt3.ggpht.com/ytc/AIdro_mADIidyUg4iDJX09MjrsCble-OENi_kVt_oohWGEPf3PoT=s88-c-k-c0x00ffffff-no-rj,False,False,1712947564.798401,Mission - Impossible - Dead Reckoning Part One,7.8
Ugx-8dM99Xs6clxEIy94AaABAg,This is peak action cinema. Massive respect for Tom Cruise for performing 100% of his own stunts.,1 year ago,@Reggoat,UCZbuETSuubdckQeCw7329gw,1.4K,19,https://yt3.ggpht.com/ytc/AIdro_l3eSdJrs9xkcAFM7kExUd2KzasO2x_y1BOcwBOQFRsO4jhq02GQpbHzLNdWF64M9fNlQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.798401,Mission - Impossible - Dead Reckoning Part One,7.8
UgyK7OtI2oPa1Hi5rFl4AaABAg,Tom Cruise running is everything 😂... never gets old,1 year ago (edited),@shirish_yt,UCnq5JmUnbswRqsoX_jjiySQ,567,3,https://yt3.ggpht.com/ZT42Ra7KZxWkZe7K1gJa9-YOjgsGJG9slaGrl2KyVeF8fVy16yb44Uj935pDypqhnu6Qd6i51L0=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.799401,Mission - Impossible - Dead Reckoning Part One,7.8
UgxBNZPVQAQUbMs4L794AaABAg,Tom Cruise's running sequence will forever remain iconic,1 year ago,@RASIMTURABOV-w3j,UCdhsk-TKHdMp9ZGNxfNp-sg,806,7,https://yt3.ggpht.com/009bbBzo-wmuKny5n32jDOeiTKFrhVcmTiMflFNRcAgPZ74eVZxTexqgAUMyqYAC-PCo2jhutg=s88-c-k-c0x00ffffff-no-rj,False,False,1702410364.800402,Mission - Impossible - Dead Reckoning Part One,7.8
