cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgwIQjqXcVj6iwxYZSt4AaABAg,Finally the trailer for Fast & Furious 10,2 years ago,@Dumitaz,UCiwZ_Pk3b8xCpVjpj7S0UEA,6.5K,99,https://yt3.ggpht.com/fN7tYZbzNa1AV4Yt-CAc1E9pfeuU5ImqOIodTCpX3-gTR3_hlqYkf3hI3Iuf8ySrtxK0RTt2=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.627352,Moonfall,5.2
Ugwopu7QQvX0im5WR1F4AaABAg,"This is going to make 2012 and Armageddon look like the most realistic documentaries of all time, lol.",2 years ago,@wibblewobble1934,UCfSZgthyv6d5etrvJHmcaaA,4.4K,80,https://yt3.ggpht.com/ytc/AIdro_lehFt8JFI--HUnLJ8HM6gJxmGqUe92NDJMFn21Tno-Mg=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.628352,Moonfall,5.2
UgyRqcPp6V2uxdNN7EJ4AaABAg,Congrats on the Moisty Award!,1 year ago,@dylanbenson4616,UCumeTnCDr-SuRhVBYcuNgKg,1.6K,7,https://yt3.ggpht.com/ytc/AIdro_mLQYju7Cr_5R3_4z-K6CvSqXUKLVsHcB0QaaFzDNF5m4on=s88-c-k-c0x00ffffff-no-rj,False,False,1702413592.628352,Moonfall,5.2
UgyQp3JesDJXtDciRVx4AaABAg,"This is the genre called ""It's the end of the world but we are having a good time!"", I'm OK with it, I love this kind of movie. :)",2 years ago (edited),@TobiAnimados,UCGxduoyX-0_d-5K1IHpYOjQ,3.4K,72,https://yt3.ggpht.com/ytc/AIdro_nKBDIcyzyzEvupPMnBbpCLDCBblkwxLUcezo8olyDqL1w=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.629352,Moonfall,5.2
Ugw2IJmHASWldJmlfep4AaABAg,This is why people should know the difference between a “disaster movie” and a “disastrous movie”,2 years ago,@bezierballad8852,UCgzFYxqYqE5SqxxmkSM0oXg,223,,https://yt3.ggpht.com/JKsdkxPbm2n8DUf86KG92xjnL-JFmaqOEvCXDfLyHD_nPc8Izpk0e6pmQDQtjqkDCP4A2P3VntA=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.630352,Moonfall,5.2
Ugw1aEU0JztMnabztXZ4AaABAg,"I'm pretty sure anyone who actually thought this was a good movie is currently laying in their bed, by themselves, wearing a mask!",2 years ago,@mtbtravelers9922,UCur4miFG5c4Ga2sGmkAgriw,4,,https://yt3.ggpht.com/jff84D0qadH8aLrrJf-PiaiW_cAooPM3AThaW9VagjG5zzto8qLTSUwWiLdrnz7XtcSGSgCFBA=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.631387,Moonfall,5.2
UgxElU9q8FLJvJBO5Nh4AaABAg,I'm still trying to figure out how some guy figured this out before NASA.,2 years ago,@LizardoiL,UCljJfXAjmTCI8W9mSoursVQ,1,,https://yt3.ggpht.com/ytc/AIdro_kpPZlHwjRP8NwNIeGu55Ih_vM-rK7TuF48dMPqbOB2lh0=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.632385,Moonfall,5.2
UgyEbkFwENjCBARnlUN4AaABAg,Where is this on ?,11 months ago,@captainleonardodivichi295,UCQ1SViWXKv3fi4FmoHcO8XA,0,,https://yt3.ggpht.com/09KW9S8IA_GIfv0YJJFs_e98O0dAEXwToKX31aboQhrJpXEeWhVhrzfsZh4AAuIJzhMMBRzh=s88-c-k-c0x00ffffff-no-rj,False,False,1705091992.633345,Moonfall,5.2
UgwAFGGczN4QHXkb6rV4AaABAg,literally hermitcraft season 8,2 years ago,@cobbss1405,UCYFtHyJ-neAuPNeqSsf_OXg,3,,https://yt3.ggpht.com/ytc/AIdro_kXmdvpHz7kNG_1YVLpSd3q2v09RHfMEK5ymFFm5a2ldC0=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.634388,Moonfall,5.2
UgzP0z-ZJDfHobXqE-l4AaABAg,I came to watch the trailer after moist critical’s video,2 years ago,@Lwless,UCAdNrUSefycVjH_4q33pILQ,14,,https://yt3.ggpht.com/ytc/AIdro_mCQOXqqqVf3Wld25T94_VE3xnr_i9ctwd65vRRYt2I3hc=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.635383,Moonfall,5.2
Ugx3RJAf_MrcHgpSuIR4AaABAg,"At Spider-Man, this trailer plays before the movie. Halfway through my daughter leans over to me “Wait…are they fighting the moon?!”

Yes. Yes they are.",2 years ago,@robertsfugate,UCM1MGcXKG3actWo7mUdEvqQ,3.9K,41,https://yt3.ggpht.com/ytc/AIdro_nh0Xw0PxuPpkyQ4cCsfKcljbV55D7ocKYcfVdk3oQmprE=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.635383,Moonfall,5.2
UgwI6aVqc3aj37szIDp4AaABAg,"The Moon: ""I've got gravity""
Vin :            ""I've got family""",2 years ago,@alexscott7436,UCVozgYj12p4vMW2EcYAEGmQ,121,1,https://yt3.ggpht.com/ytc/AIdro_ngz87s6Ff44z-_-Y2cgJKM61XrX8czRtEaPbVZ9GINWQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.636356,Moonfall,5.2
UgyWu1CHCSi91fJNg0N4AaABAg,Congrats on the #1 spot,1 year ago,@lisalarsen2384,UCK5YKva-P8asMrX6kLeDjpg,327,,https://yt3.ggpht.com/IHGVx58WmHaKmh2vGu2ozBliDMR331LVisLlPM4Ik_WjLs-BmoBsZofPutVI0EUFQqEnUjdJ9gE=s88-c-k-c0x00ffffff-no-rj,False,False,1702413592.637386,Moonfall,5.2
UgxRWCfhIyGbMzGBzQh4AaABAg,"Mumbo: ""is the moon big?""
Grian: ""is it?""
Looks at Moon
Grian: ""that is... considerably bigger""",2 years ago,@longheadface144,UC9QzEBsFGRN5teQvPBFDvjQ,55,4,https://yt3.ggpht.com/DcSjoWyaP9V6QbNKH4jVKc-LMfGNaslf0xZ4VZCnASZpYA64y0dhlg32S4Sliq6ARg7XUv0elQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.638384,Moonfall,5.2
UgyzCSHy2djxpDaRalN4AaABAg,This looks so fucking stupid and I love everything about it,2 years ago,@bloodykills7509,UCnVFcatzkwDMtjbjBd6_cPQ,1.1K,24,https://yt3.ggpht.com/ytc/AIdro_nEj4cjRh8I1g6uUYgVYoAUFr8_aznYxnkedVoeUq2dLQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.639386,Moonfall,5.2
Ugw0ZAOUGS3IqtQgtAB4AaABAg,I’m glad Nintendo finally decided to make a Majora’s Mask movie.,2 years ago,@Tisen90,UC0x-5ErwaO6i4nJ8vIDKEMw,300,10,https://yt3.ggpht.com/ytc/AIdro_nLbM9eGNXiDHjeei6-pEOvpNrBGCI0ussBKNlvmd4=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.639386,Moonfall,5.2
UgyB2KFiVyJo8PNPjG14AaABAg,Can't wait for it to go to VHS!!,1 year ago,@JR-sy9us,UC76nslsSPPZkjghOoOtUbIQ,61,,https://yt3.ggpht.com/ytc/AIdro_k0qRHxxmidI2oe0yqdJZnDAFlc1sYutnOhMdJYgjx6st_714vuoGHHTn2sph4tk-qzbUI=s88-c-k-c0x00ffffff-no-rj,False,False,1702413592.640385,Moonfall,5.2
Ugy0Pqu_2brVvwU-Vxh4AaABAg,Every trailer so far for this movie feels like that they are different movies. I love it.,2 years ago,@danimation88,UCMJgo7I2jLVvdkaqrqqm9cQ,861,6,https://yt3.ggpht.com/ytc/AIdro_kdbH4-hvUaXC7chH26zd9GNV9FlVADJ9eDEFN8z9Fbv34=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.641384,Moonfall,5.2
UgwHSTqM1ubzjLj-Qg54AaABAg,Truly one of the movies ever made.,2 years ago,@federalbureauofinvestigati3564,UCzcyFg49FBKjM3KukzwDPxA,250,15,https://yt3.ggpht.com/ytc/AIdro_kIlwze99vtl7ToS6_Qa2H5pda2My5vF-m-X3Tw4Pnxxw=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.642388,Moonfall,5.2
UgyXqcHLiEKp5xzFWkN4AaABAg,"“The MOON is oUt oF oRbIT”
This is both genuinely horrifying and goofy AF. I am ultimate hyped.",2 years ago,@laurafrakinroslin,UCuACoabtMptOiMko-MPkSzA,278,7,https://yt3.ggpht.com/ytc/AIdro_mVEKliPJMOSBM-MkXCYtP7ntV1yuf6ePRitlIZDs8=s88-c-k-c0x00ffffff-no-rj,False,False,1670877592.643388,Moonfall,5.2
UgwIQjqXcVj6iwxYZSt4AaABAg.9Ws01zqGMOR9WsGG-V3pej,It's all about family.,2 years ago,@Nikenik2001,UC3EGjMDj5wOGfBhuQqfnFJw,322,,https://yt3.ggpht.com/ytc/AIdro_mzjai3bgFVhv4INUVHonEpJb5afIv8uzAThkbKjeE=s88-c-k-c0x00ffffff-no-rj,False,True,1670877592.878863,Moonfall,5.2
UgwIQjqXcVj6iwxYZSt4AaABAg.9Ws01zqGMOR9Wt1A1g9saw,Cute,2 years ago,@theaztecwarrior1190,UCZ2Qgdnqy8AKwtJ0h5arSbA,23,,https://yt3.ggpht.com/hZVHVgrIBpWe8VfTLzWdIN5lBVeAMjHauJRdGeJAbaFVEmds5_wmAWbemvjIVgooIdNnP8vmrg=s88-c-k-c0x00ffffff-no-rj,False,True,1670877592.879865,Moonfall,5.2
UgwIQjqXcVj6iwxYZSt4AaABAg.9Ws01zqGMOR9WtTgKuLMR0,🤣🤣🤣🤣🤣🤣,2 years ago,@SatNat-WildLifebyidin,UCNvmXfdpRiWvocnrTw4tDkA,46,,https://yt3.ggpht.com/uJiUCvFn9_Mj89mPriyIV1axb4vxGfAI5njYZbb8F2lN5RPTe3DgsIFImWm2VJ9x5IfKZg052A=s88-c-k-c0x00ffffff-no-rj,False,True,1670877592.880864,Moonfall,5.2
