cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugxo8mJX_WBkEJrbNOx4AaABAg,My favorite scene is where morbius becomes the richest man in the world and shrugs it off simply saying “morb money morb problems.”,2 years ago,@TylerCassidyMusic1990,UCeX_33ZB5Ddoc5TlmObG6Dw,16K,60,https://yt3.ggpht.com/EQu9dQejB14NxZGexTpvIK9RAOSTNjoKLRGrXWG9PZuw5miXxHz-M4fv0jQCSl2lE5TAVT9Qjg=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.756792,Morbius,5.2
Ugx7eLt4royUpsgKBM54AaABAg,Morbius is certainly one of the movies ever made. The actors are acting and the plot is there. The characters are in it and the dialogue is spoken with normality. The director is absolutely a director and the screenplay is probably one the the screenplays ever written. It's certainly a movie that exists. I'll rate it a  /10.,2 years ago,@Ella-li3sd,UCYa8o0ezgzVWX-BjB2u1fBQ,15K,119,https://yt3.ggpht.com/6RDfUXZyYduUQCC6NxWWh7DRkJFqz_uAFZYoB4iuvlRdeYlkGfs4cRmqCavLVYpC6CP6OHKZ=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.757791,Morbius,5.2
UgwPzWSsIekgql2tKbF4AaABAg,Petition to re-release this movie for the third time.,2 years ago,@TheRealGuywithoutaMustache,UC3RIcfnBQinhnhKHCIEA16Q,2.3K,19,https://yt3.ggpht.com/ZituR_GEa775ikSot9mc44a_iZ8TeZHFfY7BKxR-eygMeWgGXTRdX1rnW225VMODE3IwxsOw=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.759792,Morbius,5.2
UgzDsPWY1gWjNAhUgXl4AaABAg,Finally saw this movie yesterday. The story was extremely written and the actors really played their roles.,2 years ago,@pavy.,UCbuCQicGzJPKXkR1ywJvo9Q,6K,45,https://yt3.ggpht.com/cDfERbcxioWG7xbShUS3sIMvGGJfCXWzKixq2-uqgwR67al_hkAcG164Iyh3bIHzOLO1R7oi1Q=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.760793,Morbius,5.2
UgzB_1060pUn1IXGIyB4AaABAg,"This movie was so inspiring. I got literal chills during the final battle after he killed the villain and said ""there's morb where that came from."" Definitely one of the movies.",2 years ago (edited),@terahurst4820,UCz2-PXvoIYYeIeKLqOsLIjw,10K,27,https://yt3.ggpht.com/ytc/AIdro_lf6hatTxl7Gf8HUiaIiB_MTXvAKj3IiB76tnu8ZXB-2cA=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.761794,Morbius,5.2
UgzmsAHfug--zpBzn9p4AaABAg,"I was in a dark place in my life. My house burnt down, my wife left me and took the kids, my parents hated me, but then I saw this masterpiece. Ever since watching Morbius my life has changed for the better. I now pull all the girls and im now rich. Thank you Morbius and thank you Jared Leto.",2 years ago,@mank377,UCIM5gqD-dCJmrfTSyGAY1zQ,3K,12,https://yt3.ggpht.com/ytc/AIdro_kDEeyDNXjWEyUEVC6K0-8kuC4XTzSG7LVfAKs67y0h0XU=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.762795,Morbius,5.2
UgzThAw4tFMlntyGNZV4AaABAg,"When he says ""may the morb be with you"" and morbs all the jedi younglings, gave me chills. Now i understand why its the highest grossing morbie.",2 years ago,@symptomatictuna4521,UCPCg5ZZfCTO-iB2mjFupGOQ,3.9K,17,https://yt3.ggpht.com/ytc/AIdro_nSZZbIkhCHKQ0d9UPgFSJOcUT3TWuvTBwQDHjJ2XRmjw=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.764794,Morbius,5.2
UgzouHCIWxJJVkotEDx4AaABAg,This is the most DC looking Marvel trailer I’ve ever seen,3 years ago,@cameronsmith4512,UCrbUKPbE8xR5f6yfrnGcHqA,20K,308,https://yt3.ggpht.com/VagfKErmMKUapqi7WMYEXNmUr-9EI29LwaSr8gmRheeq0qD7LQ34le6qwtfN3ki8VMtiHXNb=s88-c-k-c0x00ffffff-no-rj,False,False,1639341843.766793,Morbius,5.2
Ugw4OrLjyhY_DFmHQ_R4AaABAg,"When he says  “I believe theres a morb in all of us, that keeps us honest, gives us strength, makes us noble” I was in literal tears . Hands down a movie that was made and people watched",2 years ago,@xmindfreakx100,UCY9oQd9f4LlhCRcOwbXLkwA,4.3K,13,https://yt3.ggpht.com/ytc/AIdro_mMCFGLpx-oVhpUD-5nWuGkQGaSnhc77pZDhv7mEa7cxk6UAAgzralettYUi9Lid9Cr3w=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.768792,Morbius,5.2
UgyULOVMgeQrEMeMCrJ4AaABAg,The part when he says “I’m Morbius” and pulls out the Morbiusinator and completely morbs his enemies was the part of the movie,2 years ago,@bruhmomentum8302,UCzQhGe9Mn75ifaUShOgBR3A,13K,72,https://yt3.ggpht.com/5hxtx46VNazaamhQa66ii9ufmJXZTO9R2G3T-H_AisY0OsljWcAC5eFUjsdF74LWXWkQRbypIV0=s88-c-k-c0x00ffffff-no-rj,False,False,1670877843.768792,Morbius,5.2
