cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxJKVttaPGRrgWl0PR4AaABAg,this movie is such a fiction - how come james can find place to park his car in central london - just like that ?,5 years ago,@BlueBoxPhoto,UCt7Rzfq-KMJx1hk-kBlOW3A,15K,197,https://yt3.ggpht.com/ytc/AIdro_kHXGF-KV6InvAMTwYLY8tsGiXg742KLcd2Bb3K7Q0ZJw=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.837581,No Time to Die,6.9
Ugxk2zVVy7PTyQyeLV54AaABAg,Going to be hard to replace Craig who's got just the right amount of tortured soul in those steely blue eyes to be a perfect Bond.,5 years ago,@losangeleslovesyou,UC_3m-rd9DNjXBVpfkyBp45w,6.6K,179,https://yt3.ggpht.com/ytc/AIdro_lMO_0EU952AjKiOOkcICGc0tiWz72xnAEr1QZRWahx=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.838582,No Time to Die,6.9
UgxvmllFMDrhapEz77J4AaABAg,When your so badass that you don’t even have time for death,5 years ago,@commandobolt,UCpVDFL18N23q-J33QXW886g,1.6K,11,https://yt3.ggpht.com/ytc/AIdro_lnFg7qHIN9Mh1HSSkLScBY_ZYHqez_-SDqVuYxbcTNiI4=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.839582,No Time to Die,6.9
Ugz4_W1wZAQ5VA2D5B14AaABAg,We gonna miss him as James Bond after this movie,5 years ago,@generalkenobi8088,UCP3l5OGNMVeOBMfHyWh3G5Q,1.4K,54,https://yt3.ggpht.com/ytc/AIdro_n57Z2Cl2HPWKYiRr_CPTQgzJ--cKFhI1F-Fz0IyUCM9Q=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.840582,No Time to Die,6.9
UgxMmLNL3d999iyXN1F4AaABAg,I'm glad Christoph Waltz returned. They did him dirty in 'Spectre' and I expect them to redeem him here.,5 years ago (edited),@peterfrank3365,UCzL3mtWl2dDpEq-OONwq2WQ,273,10,https://yt3.ggpht.com/ytc/AIdro_mz4OIC6y7g7iXY-pMZF8JV0M81usi-gS0cVliRSlWI9S0=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.841583,No Time to Die,6.9
Ugx8kbgcv2nh02zv1md4AaABAg,RIP to all the James Bond fans that died during 2020 and 2021 that won't get to see this movie. :(,3 years ago,@skyfallninja3377,UCX-d5-WxzkSWzQwCqN2aPdw,4.9K,102,https://yt3.ggpht.com/ytc/AIdro_k80VUt6eBQ0MVlItVD6sq4_PE4NvCG_i30hYDJgDtQiw=s88-c-k-c0x00ffffff-no-rj,False,False,1639340000.842584,No Time to Die,6.9
Ugz5f7vTmQn3isAUHdR4AaABAg,"No time to die, but tomorrow never dies, so I’ll die another day and be sure to live and let die! ;)",5 years ago,@CitizenKen01,UCdTdLy8fW849CtzyVi_LH8g,1.8K,37,https://yt3.ggpht.com/4_voKBdhV7xPGG8i9oGyGtDqSQVnhpWC8FDc8R1qFbOUBFl--FzLgEKGDFp3lQLzmNTwADzc=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.843583,No Time to Die,6.9
UgxkYFBuh9MHaf3cJN94AaABAg,"He can’t really be replaced, gonna miss seeing him playing James Bond 007, the next Actor Is gonna have huge shoes to fill one day",4 years ago,@tjmatthews461,UCXClxueq8kA3kNGx9txYbWQ,4.7K,144,https://yt3.ggpht.com/ytc/AIdro_ktGocWI62LeRfwZm6IvTwXAJPQtc9WuW4nv226EQo=s88-c-k-c0x00ffffff-no-rj,False,False,1607804000.844582,No Time to Die,6.9
UgwE7VKrnKpNN3mZ68Z4AaABAg,I'm wearing a suit to the theater when this comes out.,4 years ago,@charleswilliams4002,UCn5fTGM_hjcB7yUfcdcDeoA,2K,69,https://yt3.ggpht.com/ytc/AIdro_lTLoymDlBpZxI8ffxKRjl4MASQJsOGFk-Ey5LO5ME=s88-c-k-c0x00ffffff-no-rj,False,False,1607804000.845582,No Time to Die,6.9
UgxYbk9B7sESpQA0te54AaABAg,"I remember when Daniel Craig was   announced as a new bond and every 007 fans saying ""no!""
13 years later now we all saying ""we'll miss him"". He did great job. Thanks Daniel.",5 years ago,@ChoisChoice-y7p,UCEBEDfElKbwwluy1SAoA2nQ,5.7K,137,https://yt3.ggpht.com/ytc/AIdro_nspOsTSamNj0y-PPtCxi_dLjrzu6MKDPux2Xcl3-cqoi3a3KTrnVdMRxc3I3eEbQVJnQ=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.846583,No Time to Die,6.9
Ugyl0rd7yjm5et_9z2d4AaABAg,"1973: Live and let die
1997: Tomorrow never dies
2002: Die another day
2020: No time to die
2033: Omae wa mou shindeiru",4 years ago,@expressivecut9303,UCCpvocCyMeudbSQjhn7jhgQ,7.7K,99,https://yt3.ggpht.com/lJ-tLu9LM8_4ThAcKWJ6uZvd1-j-q-JiMgrSLIHk_e1vq1FscptmbQ16a36znrB_2AFMebTjig=s88-c-k-c0x00ffffff-no-rj,False,False,1607804000.847583,No Time to Die,6.9
Ugy0yhi113HCvFbGn2Z4AaABAg,"This guy is 54 years old and maintain his athletic shape since casino royale, incredible",3 years ago,@jorgeblast9756,UCsyKfsZSWVXjEDH1TpSjlfA,764,7,https://yt3.ggpht.com/ytc/AIdro_n5htrp8Cws1kc7u9r1zuqh0BpCZpMs85zss_shjCv0HQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639340000.847583,No Time to Die,6.9
UgxidziPjUZGZ_DfxP14AaABAg,"""Name?""
""Bond James Bond""
""I didn't ask for your middle name Bond Bond.""",5 years ago,@jopo7996,UCsI8-OpV4P8y8cFdyWx3Xtg,18K,94,https://yt3.ggpht.com/ytc/AIdro_nP3cuXusi5_W62kHjALgB8HE_K0B1mb7iRBKHFP6_Mar4=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.848583,No Time to Die,6.9
UgyqGRi4BFXLJqwBqzh4AaABAg,"Daniel: I’m not doing another one 
 
Director: we have “the” car 

Daniel: this is the last one",5 years ago,@davidchavez7242,UC7nDzgXVexv2Rfq0LT0oqVQ,8K,29,https://yt3.ggpht.com/ytc/AIdro_lIItHxJCtDZLBJPcpINZykVLPEuWPNPI1ybb0LizPnTpE=s88-c-k-c0x00ffffff-no-rj,False,False,1576181600.849583,No Time to Die,6.9
UgzQDPLEurZQWx75kot4AaABAg,Daniel Craig will be missed. He brought that grit back to Bond while still maintaining a class and sophistication. Will always be my favorite bond and he definitely left a great legacy,2 years ago,@tux75,UCCC-1yz_O6_-m-ycqFBc86w,420,3,https://yt3.ggpht.com/ytc/AIdro_mz5uBVCV6rHOHF2K4I3lC96T1eGfn2zCHO4mvSMd-LgUM=s88-c-k-c0x00ffffff-no-rj,False,False,1670876000.850582,No Time to Die,6.9
UgwNNv996Riw3bpfx2R4AaABAg,"“History isn’t kind to men who play god.”

Dr. No confirmed",4 years ago,@BalorDevitt,UCZVo8FBLgxfRwaw7jcLAeDQ,2.9K,25,https://yt3.ggpht.com/pNuKRXAMkI1bhz22tosIEo5PdPv0ty1klfnWtq0RZSjiIz3kXiG8fiH9y3ZoaVBi4qsIStgoEg=s88-c-k-c0x00ffffff-no-rj,False,False,1607804000.851582,No Time to Die,6.9
UgwViKUACMTkQdN4nxF4AaABAg,No time to release this damn film,4 years ago,@totoroiswatching,UCNgVmcEg4r7Da049Gj5e5cA,2K,28,https://yt3.ggpht.com/7fgvxj4UlbTvUQpOl6Ev3PR0egn7WY4HcmVqkmmmmh23szVdUYGtIammQJOxvl6ZLZoQnBOJHrY=s88-c-k-c0x00ffffff-no-rj,False,False,1607804000.851582,No Time to Die,6.9
