cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugxpu9BFzv9qO2XXvgJ4AaABAg,Cillian Murphy is a cinematic genius. They could just show his face for 3 hours and he will depict an entire saga of humanity with his expressions.,1 year ago,@skat8446,UC48PpqjSLfErUsC2giiAitw,32K,147,https://yt3.ggpht.com/GTvMSLnmMdZtEY_gxLkIS5i-Wc6JxblArea0pFeXI9UgbZPJBEJ_wsFdZ5Y5kMunMtcB_NuPfg=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.744372,Oppenheimer,8.5
UgxXz7zMuKYD_fELIrh4AaABAg,"Not a Marvel, Superhero, Avatar sequel movie and the fact that this already has 30.8 mill views in less than a week. WOW, Christopher Nolan really is the brand itself",1 year ago,@megumi4510,UCb7OUyxBbRkbZcrqE8SeY-g,5.6K,86,https://yt3.ggpht.com/7HTjeRt8akBLZ5imtKUPK0PUjXmuTO5rBOwHPDS-LHMepn-F4aC6kDA8Kh44pgFRva5M1CpI=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.74537,Oppenheimer,8.5
UgyBRV2QoS7lI6X2klF4AaABAg,"""I thought we were building a rice cooker""",1 year ago,@AwfulWaffle8474,UCh6E3sCHL0G5aifoy2zYjKg,4.9K,44,https://yt3.ggpht.com/ytc/AIdro_k8BxpXQPLBxv9Vw0EE5VCl0MKOazRN-13k8_FICdxcXw=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.746371,Oppenheimer,8.5
Ugy1gwDp_-jM3dEDM-R4AaABAg,RIP to everyone who died during the filming of this.,1 year ago (edited),@rayray117,UCw2ybv7QjhPTWSohjGPmMpA,6.4K,79,https://yt3.ggpht.com/ytc/AIdro_kLGOot6_EigXmk6cNArKfhKoIGGt5FmS_OBUTzTgSFJwc=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.74737,Oppenheimer,8.5
UgwivGRinIoOYocxJn14AaABAg,I love the fact he can make a film about Oppenheimer and he’s guaranteed a massive audience just because he’s Christopher Nolan . Legendary director,1 year ago,@relaxingbuilds1098,UCsjyWBgjrCLd9H9BpjnY_Jw,6.8K,52,https://yt3.ggpht.com/ytc/AIdro_mPM81gosq_8eeNQVpfQGDEtw2wW-RLetb01WZXzdsM2w=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.748373,Oppenheimer,8.5
UgwR2IvX3CMI8hii0114AaABAg,The pure emotion of terror in Murphys face is impeccable. What a great actor!!,1 year ago,@evilyxsuf8671,UC87RsEpokrp--tlIN4_3erw,29K,91,https://yt3.ggpht.com/v9FLau7ltbBZ8QtDXt-bHNLwySKYZcxouc6DN6YIGtrqUtY9K_lzdVd73e3HJ8vy0L7hBgKf=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.749375,Oppenheimer,8.5
Ugxbkvvy7SKpXY4MNf54AaABAg,"It never fails to amaze me how Christopher Nolan, even without attending film school, manages to create such unique, outstanding, pieces of art and become one of the best directors of all time",1 year ago,@Ruben-co6pz,UC9GwLcriW1L9SlWkfJ0_YfQ,2.8K,59,https://yt3.ggpht.com/E9meBJp0IAsVIGlbe6B3TQAgv2MTooGM6nJWiAbjyAAGl6jY3KkE5dTHbb5krAjYECAZYDhpoQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.751383,Oppenheimer,8.5
UgwSdSjelWG80zypEyd4AaABAg,Cillian has usually always been more of a side character to some of Nolan’s movies and now he’s finally the main character and it’s very well deserved for a actor like him. He’s going to kill it without a doubt,1 year ago,@Yes-sw7mz,UCBlfJhE8q5BagrecKaTf6hg,1K,7,https://yt3.ggpht.com/Hz_vUIwmT7u-U506FfhWmEfue4lK0EYamAnit4zyiyhX4SiUNP7fwM4FVq-jyAchS6IlHTTCuQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.752383,Oppenheimer,8.5
UgxzRMcyxTsuHs260qZ4AaABAg,"Cillian is one of the greats of this generation. He looks utterly transformed, physically but also the mannerisms are so on-point. Even just the eyes...This is gonna be spectacular.",1 year ago,@diegosebastian2226,UCGbVgbFc-CWeeHUIHNlv_Kg,5.5K,24,https://yt3.ggpht.com/ytc/AIdro_kjND8U1TiPEw_nk7wHVRzjEfaU_vW2mZ6uU0PTBL6yiuvUWRvQQNsfIOn_RS_2JkLdcA=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.753381,Oppenheimer,8.5
UgweEgQGj-GdBwzf-oZ4AaABAg,"If Cillian doesn't win anything for what he is about to show us, just like he didn't win anything for Peaky Blinders, I will steal that stuff and bring it to him.",1 year ago,@karu1585,UCR1jKDCP-2WfnT6N_bEYoow,4.3K,45,https://yt3.ggpht.com/ytc/AIdro_k_5W6SomFzJEOaglLaD_bprgK2LnGx4iE_kFqSJ6dcxLA=s88-c-k-c0x00ffffff-no-rj,False,False,1702409040.753381,Oppenheimer,8.5
