cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgzMCyLPDSs8-JKDLLh4AaABAg,“In theaters March 2021”  Thats a confident statement,3 years ago (edited),@Lava_Zoid,UCRQrgTZ5qlLjPpdTL4v-thQ,2.1K,24,https://yt3.ggpht.com/Gbw-LrX_n7a8e8I3_yx2X2Pj8D_0XEmTZiOz4iLWWxstxPEsgrosc1UopEYFGdCrNP1TvAAEsw=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.517616,Raya and the Last Dragon,6.9
UgzX7NFKfHM1ZIONVhF4AaABAg,When disney ran out of animal sidekicks so they decided to use a baby,3 years ago,@defscanvas7633,UCdk5I63ZX3SWsrYT7qlr3Jg,7.3K,58,https://yt3.ggpht.com/ytc/AIdro_mU9h77Rvmnghe9Msj85ry_Perv5alpyHh1Wy3UEOD6XQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.518619,Raya and the Last Dragon,6.9
UgzTMhUJdeiEeQ3O8eN4AaABAg,Bruh the dragon is literaly cyan Mushu with Elsa's face.,3 years ago,@abishark256,UCIhYdI7K95K8V2ams9AfaSg,7.7K,91,https://yt3.ggpht.com/iK268jtIov1_fv1qFMgaVeo9S8WnDbHPzqEgtPTVrg8TxUKw64C-gh-7y1-vOfJ2784jznYW1TY=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.519617,Raya and the Last Dragon,6.9
Ugy7SeHXn_W8MogouWR4AaABAg,"Shes one of the only disney princesses who are supposed to be ""cool"" and actually is",3 years ago,@guitarguy7033,UC6qwaTnv0xXReIOp7PigWeQ,2.7K,23,https://yt3.ggpht.com/Nq_hYDATp2pauhxhKRzNaD6vL6eraUdj-VK7tYsGrMWNprVM-warelc5NA1sQDQBZOnsZ2hN=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.520618,Raya and the Last Dragon,6.9
UgwcK_8kySzD8L3W1uV4AaABAg,"The dragon's design doesn't bother me, however I'm concerned that the baby is going to be annoying.",3 years ago,@mattwolf7698,UCvDmIEMTOQ3JlemJ_wlljIQ,2.3K,47,https://yt3.ggpht.com/ytc/AIdro_lg7ujf--U6CHVqC-n2SocAC7GS-lhivBt89mBi-YRWH4GP=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.521618,Raya and the Last Dragon,6.9
UgytjH0mLhiVDHQ0Sxh4AaABAg,I’m glad that Disney is returning to making original movies after all those remakes/sequels.,3 years ago (edited),@thegalacticidiot8250,UCFiBZ7XXmCWhEmUvDQU1iiA,4K,40,https://yt3.ggpht.com/MsouVvRO8iYwNIhEBiipKs3KVi7k84mbXXMsEnjXGN8qrqAfWJOpQ_LBhoZ6vRTfHvU890_ElaI=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.521618,Raya and the Last Dragon,6.9
UgzUB97agGugYm3EBSR4AaABAg,Yo that dragon doesn’t fit in with the other animation. Looks like my little pony.,3 years ago,@fblthelost1979,UC2ASSjlouEqcp0DA49azlpA,2K,53,https://yt3.ggpht.com/xfX6zXKK7QS7BggCW0sb_o-fhpzPPzeLp_sAhFVhelZ4DDdvugq0f31O1Tuu8ezP6Fje5nbErA=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.522624,Raya and the Last Dragon,6.9
UgxAaKjZwIkTJfw2GzR4AaABAg,I see so live action Mulan was missing a dragon so they could put a dragon in this Asian starring film... neato I'm excited!,3 years ago,@RealTDragon,UCuhMI-k8cDjXn7U8O-E2vwA,9.5K,104,https://yt3.ggpht.com/hYW7oJcs2enSJ19oLzD-LbAVMSjxQADLIUU_nynN95hpC3MTMzTSbSIgxVE4GA4Tu3K6eQvxAQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.523618,Raya and the Last Dragon,6.9
UgzUB3vuPVJfK-mqrMJ4AaABAg,"No romance, no singing, great action scenes, realistic animation, from studios of Moana and Frozen? Yes sir!!",3 years ago (edited),@whoami6064,UCY6w7_OpTqN4v87BDd4bgrw,5.7K,118,https://yt3.ggpht.com/lLs1vmHf0ECMP0f7r-CO5yYMtuKTPDHO2vIu0N3a0O16SiM7cLXWnoSWvGvqQE80Ukvea93KwAE=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.524619,Raya and the Last Dragon,6.9
Ugy_MUr3kimi_KPiUYN4AaABAg,When you realize this is the first Walt Disney Animation film that’s not a sequel in over four years...,3 years ago,@simonj3413,UCE6Z70QL2aPjCIv6IZvUr-A,2.4K,34,https://yt3.ggpht.com/z1tdBM3-ysPtGAhIheBn6zM0nbMEPEwYbhEAbVqPNlP_lkKSNe1YyLjmfCBsyefc9jKaAfHC9w=s88-c-k-c0x00ffffff-no-rj,False,False,1639340723.525617,Raya and the Last Dragon,6.9
