cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxhdcFf6r7p8i9usyR4AaABAg,first trailer and his father is disappointed in him already.....perfect Asian representation,3 years ago,@rubenyap5139,UCYOPoNM_h1pQtcTaejEY9HQ,23K,204,https://yt3.ggpht.com/ytc/AIdro_n2nBdp54__nqdUnzO5vVoKjzt3JpgEy35wrakEE05wh3o=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.295043,Shang-Chi and the Legend of the Ten Rings,7.4
UgwQzksPH2v087NBMmV4AaABAg,I love how this does and doesn’t feel like Marvel at the same time,3 years ago,@TheShinyDude,UC4qti51U72Mtj_OXMxDu2cQ,3.4K,69,https://yt3.ggpht.com/ytc/AIdro_nAFj6FZ1KmEEiVX8Sxa8XNRVhQAxJlDPDDLR7bWtN4Xw=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.296046,Shang-Chi and the Legend of the Ten Rings,7.4
UgzrybM5eNeWAzZCseF4AaABAg,Asian Parents Expectations 100% on point,3 years ago,@skyebunny777,UCZxW9kJiIiusiATMr4O6hDQ,38K,317,https://yt3.ggpht.com/ytc/AIdro_mwBDde13WX9nKFmwLpdu6n0PAX2UqWkiUpq_Xx8IrSoC0=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.297049,Shang-Chi and the Legend of the Ten Rings,7.4
UgzXordCVOuMe5L7tVV4AaABAg,"""And where did that get you?"" MCU really be tapping into that disappointed Asian parent vibe.",3 years ago,@Gmanweapon,UCqzg4VM4gS2IJxqc0zBSpPA,4.5K,15,https://yt3.ggpht.com/ytc/AIdro_l6fCt6EIPuQZ4oyfqNaTqMU64X1kKnqyimhiuYtZV70Q=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.298044,Shang-Chi and the Legend of the Ten Rings,7.4
Ugxmf7Bch5yRxzzCRwV4AaABAg,This is probably the most non-marvel looking marvel trailer ever.,3 years ago,@hiteshadari4790,UCQ-Y5HrR8cGHam8QYr0TXbA,3.1K,65,https://yt3.ggpht.com/ytc/AIdro_nlcq63IV_wyUhu92-h6kocRgTc_jJPP5oGSYtbWiMzwdA=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.29905,Shang-Chi and the Legend of the Ten Rings,7.4
Ugx5VrM-0wEoULvJeBJ4AaABAg,If stan lee was alive his cameo would be on that bus and after surviving the accident he would be like “ that kung fu guy is pretty awesome”. ♥️,3 years ago,@Itsshariqq,UCHmvGpztDcxg_rCBZmUFUFg,3.8K,40,https://yt3.ggpht.com/ytc/AIdro_nX0Gc1EqSo1rnkEIYBWZoPYdMfmivhmSO-cTWvaY6xFa83=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.300005,Shang-Chi and the Legend of the Ten Rings,7.4
Ugw_PxC9LpoHmKqUGO14AaABAg,"I just wish his dad calls him a disappointment, then he's the most relatable superhero to me",3 years ago,@pravinthokal7629,UCDrns0CuwUdIhN0zIbGC4ng,2.2K,17,https://yt3.ggpht.com/ytc/AIdro_lT_9OOOWvOgIZ4_c9Luz0dY8XsIDpw1igyAsDptzaDj6c=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.301043,Shang-Chi and the Legend of the Ten Rings,7.4
UgyKAUa20_y_HBaTmrJ4AaABAg,The action choreography looks insane.,3 years ago,@mr.krepshus1467,UCr3x3kutg5LlL68sI7amYLw,42K,246,https://yt3.ggpht.com/ytc/AIdro_lgrnJ-nECQupK85IOwr3YxjX9lKqyvhl--TveEPsN7udw=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.302048,Shang-Chi and the Legend of the Ten Rings,7.4
UgzxHABURhlkhKTl1_V4AaABAg,I love seeing Shang Chi beat his wood... wait what,3 years ago,@3CFilms,UCkFbAywlXz4W0BCle2eFyUw,17K,312,https://yt3.ggpht.com/l60fvqIhgkNND_0rvExTHZLa5rYFLuhI12lNnSciK8MhIk-0xbmdtpMX8rUMz3uymy8jqzfjSQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.303043,Shang-Chi and the Legend of the Ten Rings,7.4
Ugxj-q2mYsT9xk8Ul8R4AaABAg,Marvel really did well in capturing the Asian experience IE: A parent that is dissapointed to his son,3 years ago,@regisj2567,UCj8EYQvPt30Nav041drj3Ww,1.4K,12,https://yt3.ggpht.com/ytc/AIdro_lRA5Tn3CiqLYw8BKpp_giJ2XKyJx6xBlFDs4A_ocIImZA=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.303043,Shang-Chi and the Legend of the Ten Rings,7.4
UgzieNpgM7cdOBD0q6V4AaABAg,"Shang-Chi saves the world.
Shang-Chi's father: You're not a genius like Stark though.
Shang-Chi's mother: Or Dr. Strange. He's a real doctor, such a good boy.",3 years ago,@blipmachine,UCuj5sSHh6xBr7syREuyuFGg,3.4K,31,https://yt3.ggpht.com/ytc/AIdro_kNrfewvpWqh_4aCRQltQL7h-4K4Qqv0UCF7s0-BVQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.304047,Shang-Chi and the Legend of the Ten Rings,7.4
Ugw44d8r2QSQlTNLv214AaABAg,"Lady : Who are you
Shang chi : Let me do the cool pose first",3 years ago,@BCU,UCg1la89F2H7B0SJ0uwyaw9g,93K,436,https://yt3.ggpht.com/wZ1FUY5APxhV3knaOKKd0CFBb7yQXDRgN3iArNK97DETrmDkWdHXRguDFb8kNno4gnkIdQN7=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.30501,Shang-Chi and the Legend of the Ten Rings,7.4
UgymHvac8-zMIrcSoOB4AaABAg,"I have just watched Shang-chi and I have to say something: I went without any expectations, and now I think it has just become one of my favourite films",3 years ago,@awesomemarineship649,UCOtzAeaASF-RrXpLV6wcKYA,3.2K,38,https://yt3.ggpht.com/ytc/AIdro_mQz2yftgX8JBwhWiKbUqp7LshB0SgMzWqXV5L7tQuyYtI=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.306041,Shang-Chi and the Legend of the Ten Rings,7.4
UgzJa1XDKQxDhZvnjjJ4AaABAg,"‘I trained you, so the most dangerous people in the world couldn’t kill you’ - felt like a really powerful statement.",3 years ago,@crisphighfives,UC4zIf8WbSPMjhsYMtFhY0Kg,2.2K,13,https://yt3.ggpht.com/ytc/AIdro_k9ZpAaccxcLzsS1f1MmFWwPOk-Bcf-eLnszlfL6c6pzu0X=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.30704,Shang-Chi and the Legend of the Ten Rings,7.4
Ugyer2ZH070b69ax78x4AaABAg,"""I gave you ten years to live your life, and where did that get you?""

A job at a car rental in Toronto",3 years ago (edited),@Teag_Brohman15,UC6dcKispWdFrnigrTwGSxPg,4.2K,37,https://yt3.ggpht.com/ytc/AIdro_l91l_JJ9eFCaCxhd-dQsfBvSsFJdVPy6KZPXVTMx9-8WM=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.308043,Shang-Chi and the Legend of the Ten Rings,7.4
Ugw0Yko6bH_csOmBctJ4AaABAg,Out of topic but this man is really handsome,3 years ago,@LEELOLKH,UCYK00fo6ry9-6_EncTArVpA,362,3,https://yt3.ggpht.com/GNsrOC0vSa4bJY7VXO_pojx3oHnXoaIOwaX5dt7Pac8rf0OT3iWMToOPyF3HsRCb_vTE14P3=s88-c-k-c0x00ffffff-no-rj,False,False,1639337568.308043,Shang-Chi and the Legend of the Ten Rings,7.4
