cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugw2vnf0Zv05a44r_Kp4AaABAg,"The message was like ""Living is not all about finding your purpose, It's about living your life to the fullest every single day""",3 years ago,@pohtahto283,UCCrUmxo-rkhhury-wLszUXA,4.7K,41,https://yt3.ggpht.com/ytc/AIdro_mN1Xm6kvdImQAxsi3Oi35TFsoGT1Mg7N3VGlw0x6BX0w=s88-c-k-c0x00ffffff-no-rj,False,False,1639340550.809143,Soul,7.4
UgxAOaxO41y2SUNlUwt4AaABAg,From the creators of Coco: Another film about an aspiring musician falling into the afterlife and trying to get back to real life.,4 years ago,@pascal3610,UCotVqMdBSu5jar6-V5ABvPw,4K,46,https://yt3.ggpht.com/ytc/AIdro_l2n3mRQPa3y287sfKCx2ozTHBTYLTeWVHwlR5AUS10OSQ=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.811142,Soul,7.4
UgxUNAbAd0NoYVoX7YV4AaABAg,"The real, human world of a Pixar movie has never looked so beautiful. Toy Story 4 looked great, but this feels like a whole new level.",4 years ago,@Mr_Mimestamp,UCIwPJOEG5mWs4NLnx7a8CRA,2.8K,22,https://yt3.ggpht.com/xsymIIUoQGIQKETU2MMD6RzARyulQ8YfZ0TT3gF8JLqFf2U04A3aDiSZN7w3Hv-Xjq91uwKPjfs=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.812142,Soul,7.4
Ugx3kG9Iio0OdLySqrp4AaABAg,The “You’re still alive?” part should’ve been kept secret. That would’ve made a great gasping-moment revelation in the theaters.,4 years ago,@rowelle,UC9LDYTJUO7qLU97L8M2fZZA,3.8K,69,https://yt3.ggpht.com/ytc/AIdro_mb5lHi9_61ZPaEub50OaKTKTa1B_wHctMWJupxCuViC0w=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.813142,Soul,7.4
UgzEzQbCiWfon7flCIZ4AaABAg,Can we take a moment to appreciate how Joe’s glasses and Hat are apart of his literal soul,4 years ago,@siijon0353,UCDjjMEPtV40RnExqgWJUugw,10K,64,https://yt3.ggpht.com/ytc/AIdro_ntw6-aJjL1W0WjnqD7WnWi0rzkHPMdLXIIf8AvOvmj6Q=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.814142,Soul,7.4
Ugyycbstt3runxHVnzx4AaABAg,"Calling it now: 22 is gonna reveal a dark past where her life on Earth really sucked. She then found herself in The Great Before like Joe, but chose to stay there because she wouldn't experience the hardships and trauma of Earth. While 22 would remind Joe to keep his feet on the ground and recognize that the world is full of hardships, Joe teaches 22 that there are things on Earth to be happy about and to live life to the fullest despite the trails and tribulations of life.",4 years ago,@gabrielabrera9966,UCDARS8YyTsRhIWCNQT2vVkw,3.9K,86,https://yt3.ggpht.com/ytc/AIdro_nwtAoZb5AIYypZxoOmOz_xBhULZHNgA3JBdXZJbOo=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.815141,Soul,7.4
UgyKKwaHm6O3gGA3R4x4AaABAg,"As much as I kinda wanted a Ratatouille style movie about this guy just trying to make it big, this actually seems really good.",4 years ago,@natalua1277,UCKGdZcHClC7DeGILfm-H2OQ,2.7K,14,https://yt3.ggpht.com/RjBQung1uzCBEOEilG4fmsH7NVs20m8Vvhi852mXdesKAVHzn5MXIWWqk6lvWBbIAQHIfOqysg=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.816143,Soul,7.4
UgxCLYCdQKsbO8pgsEt4AaABAg,why do i have the feeling that this was an idea for pixar spark shorts and they actually turned it into a movie,4 years ago,@joepmeinema897,UC2TFB9gCT9LFgrubcvRPg4Q,8.3K,46,https://yt3.ggpht.com/ytc/AIdro_nlmcBOt7GUUSJkXTW-VmpXZ8X_qwSzJeV7Aw5yzkL6XY8=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.817141,Soul,7.4
UgwU6XAcr9eqfK9Ndix4AaABAg,you gotta realize that pixar movies aren't just for kids. they're for everyone. pixar creates family movies. not kids movies.,4 years ago,@acuteangle8856,UCZU7Mi3YLoqZ_elnvSnPILg,2.7K,85,https://yt3.ggpht.com/5gRrzDbLX9I-V2KAewjKLFuqO33NDvLbJEFJefY5qQzkGSYp12ut02_c7UAoWtIMOqlUDTtM=s88-c-k-c0x00ffffff-no-rj,False,False,1607804550.818144,Soul,7.4
UgyVe_C0_ZJyzmvvi7F4AaABAg,If you are depressed this movie makes you realize the meaning of life again. I haven’t cried that much during a movie in a really long time. Thank you pixar,2 years ago,@aeforeverx3,UCnDVledu0x_5lSYJ0jXezgA,743,6,https://yt3.ggpht.com/ytc/AIdro_kkCQfW6OmQHHMtIIXwrS5sBS8B_CC0ivAoN4HUmlqiCg=s88-c-k-c0x00ffffff-no-rj,False,False,1670876550.819144,Soul,7.4
