cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugzv1E7btPnibqDQuK54AaABAg,The future generations aren't gonna understand how hype this movie was,2 years ago,@wan.gito6000,UCFI7kuj2lbxf_aNPJlaE8qg,17K,222,https://yt3.ggpht.com/p643xzXJBm6Ut6VOhqrGNr7B3x_0vmPdhFSgm2UyCL2Vl1B6DFpKTz75x_6jN0cA3II8RaiS_w=s88-c-k-c0x00ffffff-no-rj,False,False,1670872286.893128,Spider-Man - No Way Home,8.3
Ugx718qO2JvxVY1v4pZ4AaABAg,no way doc ock gets sent to an alternate universe and immediately gets flamed by some teenagers 😭,3 years ago,@Mellomelt,UCk81fwKgCBph-IYS9D71noA,32K,262,https://yt3.ggpht.com/IPLHeSl8glbE4UHNyCnQBR6sYW2_m2V95JgxzFeBfQqMEKkgOpa6lKiwUxMU7jMpQWOa5-FDPg=s88-c-k-c0x00ffffff-no-rj,False,False,1639336286.894131,Spider-Man - No Way Home,8.3
UgykueRp47wGzu6v-Q94AaABAg,Who’s here after Deadpool and Wolverine,4 months ago,@Milkyway-Galaxy11,UCtNGP9HPZ7E9hVyLOp85tEw,130,8,https://yt3.ggpht.com/ytc/AIdro_lnBPtbP1wahUTibFBXckB9MmDz9iLbC7kjCu5F4WT8Mp6TLU2X-XMBvRB0tFwn3YlHnA=s88-c-k-c0x00ffffff-no-rj,False,False,1723486286.895129,Spider-Man - No Way Home,8.3
UgyIkPtwYyDnCDiJB9Z4AaABAg,Wow 3 years ago today this trailer was released.,3 weeks ago,@You-om2zt,UCy_2WJw8HQuTe1Ncr442qmg,48,,https://yt3.ggpht.com/9CZO4Inp-KeEM9IKLkVx-MncNfRYDOrJOuZvoZbNZTjzNvcFZ8VWov2wsSiMSIFW2wVafeb5Rg=s88-c-k-c0x00ffffff-no-rj,False,False,1732216286.89613,Spider-Man - No Way Home,8.3
UgxQYwNx29FdlMqCV-d4AaABAg,"Can't believe it's already been a year, the hype for this movie was INSANE",2 years ago,@billybutcher913,UCjfwM1YBNN_zco0ukatcvWA,5.5K,24,https://yt3.ggpht.com/ytc/AIdro_k_MjZHupmGweZHYfzoluBvWNDjcc-Pq3HiuUrh4sfMNw=s88-c-k-c0x00ffffff-no-rj,False,False,1670872286.89713,Spider-Man - No Way Home,8.3
UgwNDCUgXmQ72Odjjul4AaABAg,Who else in 2024,5 days ago,@infamousgamer3.073,UCtK41sLggCjZmevzsTn1q0w,6,,https://yt3.ggpht.com/ytc/AIdro_k8EA_t-3XM0ml0SYN51hXX61dUqFZ-ldml3UfSVBPCIR4=s88-c-k-c0x00ffffff-no-rj,False,False,1733598686.89813,Spider-Man - No Way Home,8.3
UgzNrqiugEJEh0VLB8R4AaABAg,That Green Goblin’s voice and Doctor Octavius’s “ You are not Peter Parker “ part. These two things just unlocked my nostalgia and gave me chills. ☺️☺️,3 years ago (edited),@sameerpandit5071,UCYQJ0D9gHezZNO4Ho8B9KGg,3.9K,32,https://yt3.ggpht.com/ytc/AIdro_neYMhSZOneIwWyy7qRYdHrk2MJDSeMqcwJbBUkdRk=s88-c-k-c0x00ffffff-no-rj,False,False,1639336286.89813,Spider-Man - No Way Home,8.3
UgyBLEimAAmbylN04nx4AaABAg,"A year ago today, this amazing movie came out. Still wish I can go back and watch it for the first time again for the intensity and the reaction from the crowd",1 year ago,@uforocker1488,UCpNs36DT55lLq0Cfl-v98WQ,2.3K,10,https://yt3.ggpht.com/ytc/AIdro_mJcwLeAw7qjFpepwgzJzatSCfsFKsulcx1KblG1ryVqw=s88-c-k-c0x00ffffff-no-rj,False,False,1702408286.899133,Spider-Man - No Way Home,8.3
Ugws4rkznX6BQi9yAgB4AaABAg,Who got this recommended?,12 days ago,@guccieditx3694,UCD4lVGmdyhQNXwgvxATSCrg,9,,https://yt3.ggpht.com/itGmanH9L7Z0xb0ZcHGpy38Kb5W-0nenoYUSDpvGMLjmOsYXrDDfsA1zfe-7ApAn7IRiM3NJ=s88-c-k-c0x00ffffff-no-rj,False,False,1732993886.900134,Spider-Man - No Way Home,8.3
UgySV2LyLMOImuHQzWZ4AaABAg,"“You’re not Peter”  
These words won't let me fall asleep",3 years ago,@IKesha,UCidEZ1TfAikhpKwh5xcqujQ,47K,157,https://yt3.ggpht.com/kILGFYRY0HM1LR7btoSQiYsQXJzSlupzzorHPbOmEMHgj9ohNe1zDXpiwKy5btIHW8Z6tncmK2I=s88-c-k-c0x00ffffff-no-rj,False,False,1639336286.901129,Spider-Man - No Way Home,8.3
