cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgzqPeeV4Ofpf2l67sd4AaABAg,"Let's be real, this isn't a Flash movie for us... it's a Batman movie with the Flash in it.",1 year ago,@dirkmandark,UCN1aEqPdFyZnOEvz-Q2mCAA,3.4K,120,https://yt3.ggpht.com/ytc/AIdro_neizqx1QoLKazQcXdexVeojzV9uWMQBIbmho9sxzYaRfE=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.144664,The Flash,7.1
Ugx1jbE6WLlAX5vM3qZ4AaABAg,"""These scars we have make us who we are. We're not meant to go back and fix them."" This line from Ben Affleck is so amazing👏",1 year ago (edited),@siddharthsanjay1880,UCz1M_t1USvYGfsdscK7MkMw,34K,451,https://yt3.ggpht.com/ytc/AIdro_lLJh5KYvXPLHka85js_lg5LHvpyFl11LAXUb5ykQTrPtbl=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.145668,The Flash,7.1
UgwLCXc8RKiahehG-754AaABAg,On behalf of all DC fans in the world I wish this movie a great success,1 year ago,@Discovermore280,UCfF-cF7HIPNuPRQEwYU495g,714,23,https://yt3.ggpht.com/TtumOmtLr0wQxIJI6lZ-R9DyeFV5Ew7g77r8IVvKa9IhKohBGfqENsDonpNysVgLMhIeqxEg=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.146666,The Flash,7.1
UgyFtBRHptqrU_qeiBh4AaABAg,"This shows that even in his 70s, Michael Keaton can still be an awesome Batman",1 year ago,@LennyWatt65,UCxLsPyLmpJeXsn2ffsq_NWQ,2.7K,31,https://yt3.ggpht.com/0NsMiAtMlTeCvx-lALOqMBfVn1-KUnKgIuoweIhD1iE4xto7KlZ5HXqRjZ3BGX7DGTlZgabujS8=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.147664,The Flash,7.1
UgxxLHkgPEK4BLXY02F4AaABAg,"Seeing Michael Keaton,Ben Affleck and Michael Shannon all back in their respective characters definitely does put a huge smile on my face!",1 year ago,@superhero9040,UCJn8uGoAQwlsYQ--MKl25wg,5.3K,64,https://yt3.ggpht.com/ytc/AIdro_lA7jr0LZvBQFLmBc7jijnVjyoazsJEdCveoYk4bFvSLqy3mJRIVzhAwp7IKIkTOUTl9A=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.147664,The Flash,7.1
UgzEG-KrQiIbmMwcSIF4AaABAg,It's nice to see Flash get a cameo role in this Batman movie.,1 year ago,@nickelion1760,UCmgzNOPplaQPzGu-HQuPCdw,541,11,https://yt3.ggpht.com/sn9HMoqa-DEyIbxP5d_26q3UkTf2o5eiFwGgh3RWVkqUk_b-Pe-nVmJGL-xh1L2yRIpYMLd55w=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.148664,The Flash,7.1
UgzCoHEosJAOHL9slox4AaABAg,That final shot of the Batwing silhouette against the moon gave me chills. Beyond excited.,1 year ago,@sherman8or06,UCwu7t7Wp153mK2ysTeFBmmw,1.1K,7,https://yt3.ggpht.com/ytc/AIdro_n36ydfo09BIfaLZtMXPWmvJXc7H3XZDcNncaadM0y7Vis=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.149664,The Flash,7.1
UgyGVYW-yc-7PvV8Z0l4AaABAg,This trailer made me so happy,1 year ago,@TimeBucks,UC9SPmYqr3fGiP95b76tnUag,1.2K,59,https://yt3.ggpht.com/ytc/AIdro_mqWhORDZ6WI6XQ-I7O-Sz-99Hs6FNx4YyAY0De-SqAgA=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.150676,The Flash,7.1
Ugy-XlLaygipndRrN7B4AaABAg,"I know everyone's hyped to see both Affleck and Keaton as the caped crusader. But man, it's so good to see Michael Shannon as Zod back after 10 years.",1 year ago,@farrel_225,UCb4TFeyy8awpqsvcGZWiTfg,1.2K,12,https://yt3.ggpht.com/ytc/AIdro_nCPkbYKfaYBZvD0m9zrKD35dbqGMhkvGO1LkO8E2MGWgE=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.151679,The Flash,7.1
Ugxkcr7itsI2MRZ0Npp4AaABAg,It’s crazy all the superheroes with powers.. but Batman jumping out the plane is still 🔥,1 year ago,@armyslukecage38,UCNOT5oLOLspsvNcWULt-7hw,1.6K,17,https://yt3.ggpht.com/fdArVOfa6Bo55qlgnAgssWPxcQDunMA3iORoHjTd9jbovwxmIDZFQnYTdUfMzNdmqDxlhItenQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702410193.152669,The Flash,7.1
