cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
Ugx5fZN-n8H7oqU0gi14AaABAg,"Chris Evans spent 10 years playing the most pure good guy in the MCU and now he's just taking any opportunity to play a villain, love to see it",2 years ago,@Odme_,UCVwc8EMBxjSnSLSoFgmNe7Q,16K,115,https://yt3.ggpht.com/ytc/AIdro_n-_DYNfbhD7Fz8XjzQOlZoLBGYWoBBWNmqWiswCEVPgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.446087,The Gray Man,6.3
UgwkRTzzQ9juQ96Z6nR4AaABAg,Here for Superstar Dhanush! 😍😍😍 We are all proud of his amazing growth! Making Tamil/Indian people proud!,2 years ago,@ExoniteMedia,UCd4ruuP6VOyTaLjEHMHNrXw,2.7K,49,https://yt3.ggpht.com/ZwT_y8SJT6ONbvF87TjDqr1fV5IhXr4i1Xi-2hIosrQcgPMAHe4wY2IRWkNSn5GwyisSazAWPw=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.447099,The Gray Man,6.3
Ugyfdvl3Tu0gT2PdKZV4AaABAg,Chris Evan really enjoy playing as bad guy lately and i'm all for it. also happy to see Ryan Gosling and Ana de Amas in the same movie again,2 years ago,@035716594,UC4hyKdmiCzUSChG2v7uZ9kA,11K,61,https://yt3.ggpht.com/ytc/AIdro_nVCfRWAIMHWkyFcU02Vhj6kOAHvx0l17YGNFgnQxI=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.448097,The Gray Man,6.3
UgwbmazlZn7AMAYVSJZ4AaABAg,"Eventhough few seconds in trailer, Dhanush's screen presence shows why he's the best in business !!👌🏼🔥",2 years ago,@priyamkevin,UCVgePsta3RpVvCJWNXBO3Mw,1.5K,33,https://yt3.ggpht.com/dAV9D6MoF_OPA3h_6cSEG-3mXO5ycUitSlchNfULu5KeNkbLuuOFid1SzGqEkIdVKoPiM8qaObU=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.449098,The Gray Man,6.3
UgwFkoniQlvXiUXe5aJ4AaABAg,Dhanush being only viewed as a marketing strategy for Netflix to business in india with this film while just not giving what he deserves hurts,2 years ago,@prabhagh164,UCPw0WZIJhRka8wllTTqgd4A,54,7,https://yt3.ggpht.com/ytc/AIdro_medVjDaG0XDuCf79kil2kFiQBHz0CxY9WxAbp_8uI=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.450133,The Gray Man,6.3
Ugyw-QNNu8mAl0lUYUp4AaABAg,"Chris Evans and Ryan Gosling in the same movie, I’m sold.",2 years ago,@mr.krepshus1467,UCr3x3kutg5LlL68sI7amYLw,1.5K,20,https://yt3.ggpht.com/ytc/AIdro_lgrnJ-nECQupK85IOwr3YxjX9lKqyvhl--TveEPsN7udw=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.451133,The Gray Man,6.3
UgyaVbECF2fQDbBhLZ94AaABAg,Dhanush my man killing it🔥🔥🔥🔥,2 years ago,@iswaryanarayanan4593,UCPXZ7PhXW_srC_Gzd_LcChg,100,,https://yt3.ggpht.com/ytc/AIdro_ldDIb9U7K0-SgpDi990S5YAPcSMKfLKYuBKSLzGh9mHNs=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.451133,The Gray Man,6.3
UgySSV6vXZ7rHsjOUVx4AaABAg,"Dhanush, hoping him to have a good role, waiting for the movie",2 years ago,@PAPA_DJ,UC6YNCNhjpfRD_C0JLPu3Kgw,735,10,https://yt3.ggpht.com/jJdvdf0DRDJxB4756WVPGa6TDGj38LRyxyyZaBqoMmCcqJwQ826VNTLAlhRhZ5iWxzmpL1YX=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.452129,The Gray Man,6.3
Ugz-c-pptQzmANiJpDp4AaABAg,Dhanush proud of Kollywood ❤️😌🔥,2 years ago,@KarthiKeyan-gy3cq,UC7FarqkLtJSpFe7Vccf2u9g,48,1,https://yt3.ggpht.com/4I2_lNjgprt2WONIHD6x5wjyKK4yt1CyN7f0eT-pILtcU0yF3SBWIFXPLYKPwCo9c4Opn9CC=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.453132,The Gray Man,6.3
UgxZCqsX5deOpKsdl6t4AaABAg,I’m glad that Chris Evans doesn’t get stereotyped into “good guy” roles. I remember his role as Human Torch in F4 as being somewhat a**hole. Then his characters in Snowpiercer and Knives Out have dark sides. And now this! What a versatile actor and I’m all for it!,2 years ago,@jengomez6115,UC76i8DvYg-6KwhMoJ3HGiiA,2K,24,https://yt3.ggpht.com/ytc/AIdro_ltFK481bZC5K-NH6z2gCRFO-nyPT9vfeE0_j8ikUg=s88-c-k-c0x00ffffff-no-rj,False,False,1670875873.454132,The Gray Man,6.3
