cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgwtbXa-Y32hBIntCdN4AaABAg,"Came for the horror, stayed for the dance.",2 years ago,@9f81rsd00,UCRic7KSCgniR7VSn_4IBbvA,64K,439,https://yt3.ggpht.com/ytc/AIdro_lE0D87F2pXDvk-YeDAYAPc95lOuZF5-w25xnQa_XV_1nY=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.92621,The Marvels,7.2
UgxTgx5q8ZJpBOb9jEF4AaABAg,That dance move is going to be a meme for sure,2 years ago,@JaydenAmoncio,UCbbfdYYEhnHuiLrS_IWABew,23K,316,https://yt3.ggpht.com/qzwfhmEvfwyYLzA25Duq25ziROR5woDORrVTPJQiyqj6XR_i0iekGDTuRMWseVR4sHqD4gUM=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.92721,The Marvels,7.2
Ugw2Yp06K2qYB_E0Xnp4AaABAg,You can’t lie Megan was killing it 😭,2 years ago,@TayAmor333,UCqz3HkOofsDorxA_42ZN16A,14K,104,https://yt3.ggpht.com/zngs2nZdMzmmmd1j1yF782KMrbP-4w-4qKky2eZfzByacH0Ib0UsLCoqcLx3tI0Jm1gCKoRiPjU=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.92721,The Marvels,7.2
Ugz8V0OHiq_weD_S-iN4AaABAg,those dance moves ??? she's literally slaying while slaying people,2 years ago,@jimgxlmore,UCOT0HLjpPKMT7oQ5PqcZy0A,3.1K,17,https://yt3.ggpht.com/v9fRV40U-Ooy8v7OmbtYqkhnzY2kMF8Oyj8kqLYH2edBH4T8-vW8vpK6mvMwF7GdxMhfPs71=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.92821,The Marvels,7.2
Ugx_qTMmldaIafMNqsp4AaABAg,That dance kill scene tho I gotta see this,2 years ago,@jimmysimms2152,UCrdX1mvrfR78g7x7bxoUMOg,3.1K,25,https://yt3.ggpht.com/Esx4vyRz1rH2hBHdkQq9MGHvw0lcjymHrunTjQq3quqJvZ7dv_Max2sFzO9_Ui8Yq2xUxJ8vqA=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.929209,The Marvels,7.2
UgzVtsfKurcoiBf5dYJ4AaABAg,I started laughing as soon as Megan ran on all fours. I need to see this in theaters.,2 years ago,@booknerd234,UCirywVZGI5gvbiJrQvzzL2A,7.5K,73,https://yt3.ggpht.com/ytc/AIdro_kjHioH_atr7grouE1TX7w73Wadbgrlgst6UD7jBgQciw=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.93021,The Marvels,7.2
Ugz0ww9Evr9vQNw1ANp4AaABAg,a doll that protects her friend from evil. looks pretty wholesome.,2 years ago,@twizaa,UC6CGrwjWci0siSTPGqtgl6Q,3K,13,https://yt3.ggpht.com/ytc/AIdro_nHx57kh7bcPduUmg2dtDdO3n1vI6eB6McyPsO4nSo=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.93121,The Marvels,7.2
UgzN39GA2RSEJP1BHex4AaABAg,"Seeing Megan dance can cross the barrier of being unsettling, creepy and hilarious. Even If It might not be a great film, they nailed the doll's visual concept. The team understood the assignment on the uncanny valley.",2 years ago,@Sikanda.,UC7lUmhJnyG3eV7wyhGcQFLg,4.4K,36,https://yt3.ggpht.com/ytc/AIdro_mX4_DEkTSjt_ah1d6rqSBPkSDyNK8DRwUMLtjhD6shsQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.932209,The Marvels,7.2
UgzCcYiMDrsyVV3I90F4AaABAg,"If this movie doesn't take itself too seriously, it might actually be 10/10",2 years ago (edited),@Soooooooooooonicable,UCUICQeEBy3iiv-XcDPYJ5Pg,5K,58,https://yt3.ggpht.com/ytc/AIdro_n005VSU0P7qK6eknKt983FfqF5UvwuZ5YFOgepCXWik7w=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.932209,The Marvels,7.2
UgxwZzLI6NU_MafRh5d4AaABAg,"I was with it, and then she hit that dance. I was like hold up. It’s like child’s play meets dancing with the stars 😂",2 years ago,@smittyssnippets1358,UC5UWFX7sQRoCj_0WaLIiHIw,1.8K,17,https://yt3.ggpht.com/VlQZyvtydtDMU6lXGxCoczU5l3MaaNGVAd5ADXfvtQPppoMq4fbP6F-9eUR-B6svRKGpbh6kBw=s88-c-k-c0x00ffffff-no-rj,False,False,1670874671.93321,The Marvels,7.2
