cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgyER-UGCXcyurHv-1Z4AaABAg,"You know a movie is awesome, when you come back to the trailer after watching it.",2 years ago,@kingmikayel,UCYhdSCtUpDBn_znvB9C2UaQ,28K,504,https://yt3.ggpht.com/ytc/AIdro_kkKolpzVbznFeuTvkaorcJSoUkCMzxSVG5drT8JdKbVS8=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.352171,Top Gun - Maverick,8.2
UgxODi4eKDbX-c6rQ0B4AaABAg,Best part about the movie is it doesn't end where you think it would. The extra 20+ mins of unexpected action really puts the cherry on top of what was already a fantastic movie.,2 years ago (edited),@chillwillfromtheville,UCeWW7B6dYTthqaY4hAek2fA,4.4K,34,https://yt3.ggpht.com/j8qaDC04TzrBH3mVDUINS7TPvwO54vA6vVE_naRMlfNmFlDu6Nt5mdmFSnWGQcx_MtHzsSXC=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.353207,Top Gun - Maverick,8.2
UgzMZIi0lUSDc671KVZ4AaABAg,"I really respect Tom Cruise, he keeps that old school Hollywood feeling alive. Locations, real stunts, and I feel like he pushes everyone to be their best.",2 years ago,@yuhyuh7603,UCV4T74viAcKFNm6KQTKobgA,8.4K,110,https://yt3.ggpht.com/ytc/AIdro_kz5s8Yonzf1YQlSEA86-Zoa5rjxmYPPXGAzfQFZko=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.354197,Top Gun - Maverick,8.2
UgyjX6jeAQMu41RAeGJ4AaABAg,"Wish my dad was still alive to see this with him.  He took me to see the first one the night it came out when I was 13.  He just got off of work at the base and was still in his uniform and  I remember feeling proud and special walking out of the theater holding his hand. (he served in the Navy from 1963-1970 as mechanic then a pilot on the USS Wasp finding astronauts in the ocean. He then served again from 1981-1982,in the Navy reserves. He then moved to USAF in 84' then to USAF reserves at some point to 2011 when they told him had to retire.)  Good man he was.",2 years ago (edited),@Dawnnie473,UCWEcVHAxBlFDhVqOJZxOv3g,2.7K,71,https://yt3.ggpht.com/nwAyFzoCA5NbDiZU1dbBLO1D7msCDDfuH_fuWuO54gVrx5z2kipHgjWvy6NlTq0VuJXQsIVr0W4=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.355201,Top Gun - Maverick,8.2
UgzaJYjXsJzevvvQ9Sh4AaABAg,The best story I heard about this movie is that all the streaming platforms wanted it and we're eager to buy the rights to stream it on release day. Mr. Tom Cruise himself said NO to everyone. He wanted an exclusively theater-only release.,2 years ago,@itsrightbehindyou,UCGHW58HACYj9nqR703gwjow,782,13,https://yt3.ggpht.com/wr_CiQp46JX1Pavji8U6LmHFbSm0aXubt3up99vbyzVGhNLohzqJIB4bIjj5AGk5zTaiGFq5TQ=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.356195,Top Gun - Maverick,8.2
Ugzl4FTo2bJgPfJ94bN4AaABAg,"The rare movie that not only lives up to the hype, it surpasses it in every way. The flight scenes alone are worth the price of admission...simply some of the most spectacular footage ever filmed for a movie.",2 years ago,@williamlattanziobill2475,UCo330uBeB1Ry-B3AjFa4PHg,4.2K,41,https://yt3.ggpht.com/ytc/AIdro_koAi_u3GJS6ukpCmHtYkXhAwZUm6ok7cBAF6IlEmHR8s8=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.357195,Top Gun - Maverick,8.2
UgxyvbIT9LrDYtI_AE14AaABAg,"After seeing it just now, I believe I speak for everyone when I say that Maverick has earned its place in the ""sequels that are better than the original movies"" hall of fame. The whole studio was on their feet and cheering after it was all said and done.",2 years ago (edited),@adrielsebastian5216,UCulES2m_0MmkssTOXnYWBPQ,2.7K,54,https://yt3.ggpht.com/ytc/AIdro_ni_MSGlHtfSdbPkcviS1wXihPynzORbmbbCaedDqmAyRCe=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.357195,Top Gun - Maverick,8.2
Ugynqk1URxUq11UgQvB4AaABAg,"This isn't just a movie, it's an experience. Strap in for a wild ride.",2 years ago (edited),@alexanderbustamante4585,UCKm8Fut7ZSr4YFIq1etyLJQ,2.9K,27,https://yt3.ggpht.com/ytc/AIdro_lm4WolnSZ2V_r9z14U98kJd8W7_CMwZEJzOTa8uxOeeag=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.358198,Top Gun - Maverick,8.2
Ugx1HfokH4-cRcSV1Wp4AaABAg,This seriously may be the best movie I’ve ever seen in my life. Laugh cry drama tension action… it’s honestly incredible. You walk away thinking “this is what movies are supposed to be”,2 years ago,@michaellee8815,UCmUorsHVPzxn1ESkeJixHSA,1.3K,35,https://yt3.ggpht.com/ytc/AIdro_mKl_9hAIYCLTm0kQsuZaOLUeXT2xVP410S07e7iN_uKA=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.359198,Top Gun - Maverick,8.2
UgzJC_z-jrOavkdkGOF4AaABAg,Anyone here after Fighter teaser 😂,1 year ago,@raghvendrasinghdharmesh7491,UChZB09mVi4ss-MfLwACdfBQ,10,,https://yt3.ggpht.com/ytc/AIdro_mzM9_NOWdP3Ak4Dcn3chBd_viMA8lNC-fTinUzgnjvSKA=s88-c-k-c0x00ffffff-no-rj,False,False,1702408715.360197,Top Gun - Maverick,8.2
UgyqC1lkw2yLFZCmlLl4AaABAg,I feel the need. The need for this not to be postponed anymore!!!!!,2 years ago,@jehanr,UCmOwfC9iE-VeyKoHddLyp7A,14K,222,https://yt3.ggpht.com/ytc/AIdro_ka7QXrKcnP7X4-S2806jJ7MdUOYkClcOaIe8d7jXTJQy8=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.361195,Top Gun - Maverick,8.2
Ugxb-ARhZzpRHo3FTgB4AaABAg,The fact that they brought back Val Kilmer acknowledging and appreciating his chemotherapy and two tracheotomies through his lengthy battle with cancer is such a respectful gesture beyond the realm of acting that is heartbreaking and wholesome at the same time.,2 years ago,@joshrabatin,UCfkPv6YTKTtyyBqV0oqv0-A,1.4K,12,https://yt3.ggpht.com/Q0H68XrIxk1_rWLuwsIHjLkSQ64sLIYL91ZkiGpofFjUMUpDfeQjksL7BHzPf5yo6eNanS4SWg=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.362193,Top Gun - Maverick,8.2
Ugx_NAi9yagwSbCmV8l4AaABAg,"We wanted this sequel so badly, but we must admit we were not prepared for this absolute masterpiece, everything is here to the nth degree, action, thrills, nostalgia, friendship, a roller coaster of emotions. Mr Cruise thank you for sharing with us your immense talent, passion and love for this art, for me the only actor who can keep me in front of a screen and take me where he wants to go. I was 16 years old when the first Top Gun came out, seeing this was like catching up with old friends I had lost touch with for 36 years.",1 year ago,@veryb.4217,UCL0COMiNWHktq67CJWZb-zw,419,5,https://yt3.ggpht.com/ytc/AIdro_lOzP5NmO_MPi6tAt0fMVLZBZDcLFenq2tVJce48Dg=s88-c-k-c0x00ffffff-no-rj,False,False,1702408715.362193,Top Gun - Maverick,8.2
UgwWsesc6a_sJMKRZQN4AaABAg,I was only 13 when the original came out exactly ten years younger than Tom Cruise. Now I'm 49. It really brought be back to my youth. I couldnt stop smiling while watching it. Its also really something to see a movie with your friends when you are a teenager and then see the sequel with your teenage kids. Truly nostalgic!,2 years ago,@reln72,UCTWKYehSw2XeL882CJ57Ueg,1.5K,10,https://yt3.ggpht.com/ytc/AIdro_lIq6l1PkTlYc7eveDl50EDfjmaSc6aww8_PC-r4K0=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.363193,Top Gun - Maverick,8.2
UgwT4tpoyZyNkDiU4Ch4AaABAg,"Sobbing, crying, IN TEARS AFTER WATCHING THIS MOVIE!!! HIGHLY RECOMMENDED!!! HANDS DOWN IT’S AN AWESOME MOVIE",1 year ago,@Gabi-it7tc,UCLYDh7VwzwNqWcbdLS84SiQ,326,18,https://yt3.ggpht.com/yMFSIjCgdjSnyf5pIEWzHrDQo1nHrKWcrFMBxqGQH7Vhr3JHd8nyaWqO1rp2CV-jGP5uXmKgFJo=s88-c-k-c0x00ffffff-no-rj,False,False,1702408715.364196,Top Gun - Maverick,8.2
Ugy-KQpTqPMfq3e-A854AaABAg,I feel so sorry for who ever didn’t see this in theaters. Hands down the best movie Ive EVER seen in a theater. Absolute thrill ride!!,2 years ago (edited),@APR702,UCGONM9JtQhd-cM6NNwe5yQQ,1.4K,48,https://yt3.ggpht.com/ytc/AIdro_lImVEFshLCzwKPwsKil_wI44W3fLO5VgHisdM_-Jtm5ZMsPSMXFTRot9-tSU3zW38Ftw=s88-c-k-c0x00ffffff-no-rj,False,False,1670872715.365196,Top Gun - Maverick,8.2
UgxRu0cdfrPwFs3fQ254AaABAg,"I spent my childhood watching the first film with my dad, it was his favorite and he always talked excitedly about one day being able to watch a sequel together at the cinema. For years he fought an illness and couldn't resist the last blow, I couldn't help but remember him when I found out that there would be a sequel to Top Gun, on the day of the premiere I spent the entire film emotional and at the end I couldn't contain my tears when I looked at the empty chair next to me and to think that my father could be there clapping and smiling. Dad, I love you, you are missed and I'm sure you would have loved this movie",1 year ago,@CarlosEduardo-iz1qg,UCRCdT6xI0wCJf_WFdcCpK0A,43,1,https://yt3.ggpht.com/ytc/AIdro_kRHFqNC-MO0NMbodYG74_Vdhn2ycQXXwfNlvAaF3j5fLg=s88-c-k-c0x00ffffff-no-rj,False,False,1702408715.366199,Top Gun - Maverick,8.2
