cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgxI3T9psDYpyHZPpE54AaABAg,who's here after the trailer of Venom: The Last Dance dropped?,6 months ago,@nikkoflores2862,UCCOzb2oACq_RZVrnxy8ScUQ,1.5K,132,https://yt3.ggpht.com/ytc/AIdro_lhcZZAvBd5hv2F12ia50vtEne4nzPIX6cwRs59kWY=s88-c-k-c0x00ffffff-no-rj,False,False,1718218419.093967,Venom - Let There Be Carnage,6.0
UgygB3ynfvs2DX9WKpB4AaABAg,after years of looking at fanmade stuff CARNAGE IS HERE!!,3 years ago,@3CFilms,UCkFbAywlXz4W0BCle2eFyUw,63K,396,https://yt3.ggpht.com/l60fvqIhgkNND_0rvExTHZLa5rYFLuhI12lNnSciK8MhIk-0xbmdtpMX8rUMz3uymy8jqzfjSQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.094968,Venom - Let There Be Carnage,6.0
Ugz3mQ4q1YfnFn4Ie2F4AaABAg,"I love how Anne's husband says, ""those two need serious couples counseling.""  Hahah.  Like he is just totally ok with Venom.",3 years ago,@MP-in4or,UCicPi-qoJoXW6Jjt-Y_Hdtw,3K,16,https://yt3.ggpht.com/ytc/AIdro_n30lvIQeJMl8WopXlCtdaE5za7u6t8NymPMjz6P5s=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.095967,Venom - Let There Be Carnage,6.0
Ugxo2mzzqeEf52X94XZ4AaABAg,"Not gonna lie, Tom Hardy is definitely one of those actors who can delivery really well on any role he's given.",3 years ago,@Jamieb1994,UC86RUN1XmjUMcb_oC4aqpmQ,2.1K,29,https://yt3.ggpht.com/ytc/AIdro_l6xHpndKb6ggM_mcsScI9jTTF12qPm98UNR4c2R-inSOw=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.096966,Venom - Let There Be Carnage,6.0
Ugx7w-_f7Ajb0L1tz3R4AaABAg,"""Those two need some serious couples counseling"" is the thesis of this movies.",3 years ago,@katofphats3689,UCxX3BC1VgcJRKEhfTW5xTlw,5.4K,11,https://yt3.ggpht.com/ytc/AIdro_nDoNOkRU4VadUGiJXsKiyNQT28HzKA2-FyioJ87xmLL3A=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.097966,Venom - Let There Be Carnage,6.0
UgybO6zX7NXCVKTyQ2B4AaABAg,Cool contrast of how carnage distorts his host’s body to how venom covers/embraces his host,3 years ago,@FirstLast-bv9tm,UCFOq-qSGkrLxEnuysacdXfA,4.7K,52,https://yt3.ggpht.com/ytc/AIdro_m85vSGFmVh9gbssV9TkXssjVp0kI-4gp353CvcNNxeHA=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.098966,Venom - Let There Be Carnage,6.0
Ugwq6oQ9bvv6dS-tbdl4AaABAg,Hearing Venom say “Oh shit” and hide is something I never thought I’d see.,3 years ago,@LonelySandwich,UCSFKhlsgQCHymbC3az8pI8w,29K,297,https://yt3.ggpht.com/ytc/AIdro_l95HJNKmEDJKwsRKRCS-qqRCChVSdFV5FVL5J0QST8NPw=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.099966,Venom - Let There Be Carnage,6.0
UgxJiDPvjJ7uevqZwjd4AaABAg,Who is here november 2024,3 weeks ago,@Mrpredator56,UCWnAslqNK1GaQ48NNijEwhg,1,,https://yt3.ggpht.com/bIM5i7rU3hx7VNrq3vDegWrSD4OjluFiRHA5HoRX5X9F9-vfWtxTya1Pbq1FnsNGJagDx590=s88-c-k-c0x00ffffff-no-rj,False,False,1732218819.099966,Venom - Let There Be Carnage,6.0
UgyJj_aVxaU9h1a4PsR4AaABAg,I love how Venom is legit shit scared of Carnage but the bribe of “food” makes him brave. Like Scooby-Doo with a Scooby snack lol,3 years ago,@MizfitZer0,UCBX2niTeVSJ1gLyu7C2rjQg,1.4K,5,https://yt3.ggpht.com/bCnKhGN-xyAVkHHfrP5g9rFstiT-8fADAh-KsDB3E0W5vuSBrNlBBw-e3EoGPP8z1v6M68E8Hw=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.10147,Venom - Let There Be Carnage,6.0
UgzgnChn_gOx5tM77qZ4AaABAg,The fact they are having the conversation in front of Carnage makes it even more hilarious.,3 years ago,@terminallumbago8241,UCPbpfpS6DNpYTidtEjRTLmQ,1K,3,https://yt3.ggpht.com/mzxgxA0zQVdmc-BD6mIuvTvfaLv1ZX4HrcPykk4bnay5EjpoK15iXaHmf6G1LyJ1HJoVnp6AgrQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639338819.10147,Venom - Let There Be Carnage,6.0
