cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgxS5fpIx1At3Ms0g714AaABAg,"As much as I love what the MCU has become, I do miss the simplicity of the Phase 1 movies like Iron Man: just one superhero, no cosmic gems, no multiverse stuff, just a simple grounded origin story",3 years ago,@joeyjerry1586,UCEpa38pn2Jifpbn5qHgqpkg,1.6K,30,https://yt3.ggpht.com/1sE9qf_60kwzVvCggQUrlL0VsFvSAs6yIuM-GX30SFVp-grjUZS5EkJpZNPDvR-WAbes7-VP=s88-c-k-c0x00ffffff-no-rj,False,False,1639357752.182354
UgwLuOOB4I59Am1mo-54AaABAg,The scene of tony exploding the tank while not looking was one of the most badass scenes of this movie prove me wrong,4 years ago,@Gentoi,UC4AmqHdg_lzhzaOysSafEug,1.3K,21,https://yt3.ggpht.com/gHQnPLvQfSbiVy-TVcqqtmKCljkjj5mVX0HIulsdZbd2iOX_acKTsODezFXdZkak6IuXzKNIFyA=s88-c-k-c0x00ffffff-no-rj,False,False,1607821752.194362
UgyB-7IjNjxIu_X9R3d4AaABAg,"The beginning of an incredible saga. Really make me sad to go back to this to know where it ended, but what a terrific film.",1 year ago,@Fast85FoxGT,UCUE3tdyF9NBzk0lTWIPh8_w,32,,https://yt3.ggpht.com/ytc/AIdro_kzU59tj2ogENUUgR4ADe1LWquQ2NL3fl7Hyx1BW4Vx=s88-c-k-c0x00ffffff-no-rj,False,False,1702429752.213886
UgyHAqthpQ6D2POimlx4AaABAg.A1yUfr4xlOHA6_ZaifjhhQ,Yes. In fact this very movie is still very popular. One company in particular can stand by this statement- Hot Toys. They’re still making movie accurate Iron Man die cast metal action figures! Recently the released a 2.0 Mark 3. They will be releasing a 2.0 Mark 2 next year. You can bet I’m purchasing that Mark 3. I’ll be watching this trailer the day I buy that figure!,4 months ago,@thomaspixarmarvelfan,UC9ra85Dz0DBfh5ywmskF2-g,0,,https://yt3.ggpht.com/ytc/AIdro_lU4qhkkIvpehO9wRZ1pD99VQCBJyw5Fv95Z2Jh_72u-Ns=s88-c-k-c0x00ffffff-no-rj,False,True,1723507752.816726
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t12499kIaGP3iJm,I didn't care back then!  I was just so excited that they made Ironman into a movie and it looked like it was going to be good.  LOL,4 years ago,@pamtyler1259,UCpgWYvkqcrbURGa_rHNua0w,94,,https://yt3.ggpht.com/ytc/AIdro_lmGMvOf9DyIsHMLf5Anz3ZqMYXaYGdd1DsbhgUH6YuQxQ=s88-c-k-c0x00ffffff-no-rj,False,True,1607821753.086663
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t1249HZQJVPUSBK,They needed to sell their movies back then but now they don't need to because the hype has already bulit up,3 years ago,@wanderingsoul1551,UCvfPlng9SdkKrQmE2vwvRPQ,12,,https://yt3.ggpht.com/ytc/AIdro_kev0Lj7R8t3iADmhxH_jMq9sk-u_QsY8IoN7rwAnzihP0=s88-c-k-c0x00ffffff-no-rj,False,True,1639357753.089663
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t1249J125UaJXOj,this is true but i feel like they kinda had to give ppl a bit more because it was the start of the new company,3 years ago,@hiddenvalley17,UCVgJE7HYWvDioNu0Fp7Dcag,19,,https://yt3.ggpht.com/n6SRqKJd51KNYr4JfAmQzfFcVuBgQNBwpc5ijguvGD_mvlIKbR426Ux7aryDwgVKuoxLxyvLWQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639357753.091679
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t1249UAdS_FpbGD,"True. But in their defense, how many people even knew who Iron Man or Tony Stark were in 2008. Comic book fans, sure, but who else? The trailer had to get people to want to see the film.",3 years ago,@Timasion,UCCRO1_-tVlEWLD-l4u3fepQ,3,,https://yt3.ggpht.com/ytc/AIdro_knlSB8KTHrZdwrpKpCdpRYSH4t7MUgjPDs3zui7izKLqo=s88-c-k-c0x00ffffff-no-rj,False,True,1639357753.447217
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t1249XPvxHh3tmo, @wanderingsoul1551  I don’t watch trailers anymore just cause of that reason. They show off too much,2 years ago,@TheMoises1213,UC-zwQc7LEM4WwMMG_8oQXHg,1,,https://yt3.ggpht.com/ytc/AIdro_mngMur5IheKk11UjenGUPW8b6pqRNjqaAQGOO7EogXNbo=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.450213
Ugzy7gcy8rO_7u2MXA94AaABAg.95gZ167t1249_MYX71p1TC,dude no offence but the original blade runner trailer show the whole movie as well movies do that since they came out it just the way they go you don't believe me go look at the trailer for the good the bad the ugly it basically tell the whole movie in the main official trailer,2 years ago,@jamesstewart4670,UCztTs72AoFU5-IU6Qib39_w,1,,https://yt3.ggpht.com/ytc/AIdro_k_XE3yskmy-xNgXIOFfs5slXbR262n2eV1XfrC5Ks=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.451216
