cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,Imdb Rating
UgzOJnS2JneHsPtbufx4AaABAg,"I'm from Rome and i have never understood why for Americans Rome Is a semi-desertic country, Always hot and summer-like. Temperature today here 13°C.",3 weeks ago,@The_Monarchist,UCBTibxZikO3TiRtSk_jRCsg,45,24,https://yt3.ggpht.com/d9clfEq9ONLzqLtxnvCZf-TdYJr7hryfnrnBJ4Bbbiyd4R-oKZlqYr7YmDHc9xG5L2ajMdW-PM4=s88-c-k-c0x00ffffff-no-rj,False,False,1731887876.007442,Gladiator,6.4
Ugzz2IL5BxYsGFlN98V4AaABAg,"Some movie should never have a sequel. The first one was epic, together with a hauntingly great soundtrack.",2 months ago,@Alex-Rainmaker,UC5OS6nwrP3M20z41VpU1ABw,701,59,https://yt3.ggpht.com/ytc/AIdro_lfKipn5eHNggwbZHwZ6Md-q54IhfYJrpZRwWJe2dw=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.010636,Gladiator,6.4
UgwLq_7FCjOTKU4uCUR4AaABAg,We were not entertained,2 weeks ago,@starmanmihamarko8955,UCdXW1oD5D0k_Iv2k0yYS7pg,3,,https://yt3.ggpht.com/ytc/AIdro_nPHfFVh6E6vZtnCLnIZWUL0lUd8ZNkZOuqjzQwe2E=s88-c-k-c0x00ffffff-no-rj,False,False,1732492676.011635,Gladiator,6.4
UgxuKi7BpU341vXMgI94AaABAg,Should have left it alone.  Russell Crowe was awesome in the original.  It's a classic epic.,2 months ago,@pauljane3323,UCf3-KNIpPf-d2n6NF5JzSLg,398,17,https://yt3.ggpht.com/TTqUM-VINoZ1zIF40eZgpU-3erMwASKQLXMA1-cJwnJlE64soHXdkT6-jQ4YCdZ5eSm0hromteo=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.012673,Gladiator,6.4
Ugy21JoRp5bu8qQengt4AaABAg,Next: Gladiator Vs. the Invaders from Saturn. Gladiator and the She-Vampires. The Son of Gladiator Against the Amazons from the Center of the Earth! Gladiator Vs. Jesse James,2 months ago (edited),@facu1976,UCgQK8Tmk9J3ZDi5VW4o0Zng,258,47,https://yt3.ggpht.com/ytc/AIdro_luyKhAhSoRjgIPofckA6oPMph0Tk8HdjSHmlPIjkV3Y8nm=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.014211,Gladiator,6.4
UgygJnOOI5rzDb-MpYF4AaABAg,what is up with Denzel NY accent? man this move feels so hollywoody... They should just called this '  New York gladiator',2 weeks ago,@juanlee337,UCT6F0XLzbfMQzOK8a8FImFw,2,,https://yt3.ggpht.com/ytc/AIdro_ndFkFsVu7gSIGbuVOiYMbHfpC5vOc7PAgmNIBe1zvFHQNW=s88-c-k-c0x00ffffff-no-rj,False,False,1732492676.015214,Gladiator,6.4
Ugxxxt9Iqj8AA_08g1Z4AaABAg,Are you not entertained? ... Nope.,2 months ago,@nccamsc,UCtuT1j9LP_iiXj_3VO5BfOQ,33,4,https://yt3.ggpht.com/ytc/AIdro_kzRaEndeET3UIFHQJeJHA77_xovazKjGpdsNmEt8Q=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.017737,Gladiator,6.4
UgxD-btvbwaWZNPGoVx4AaABAg,"""You either retire a hero, Or you direct long enough to see yourself destroy a legacy...""",2 months ago,@birchysattva,UCrjHWh-TRyWKRnsxgU3R11w,184,10,https://yt3.ggpht.com/ytc/AIdro_lCOhk-K0scnvDTZeq6nuqzskAJDFid2tuV9PlESGRqkg=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.018773,Gladiator,6.4
UgxyqHCI9Nsw0_FFYDx4AaABAg,One of the best things about older movies like the gladiator is that there were things that were un-said. Things the audience wanted to hear but were never spoken. It left a mystery among the audience. Hollywood today has completely forgotten that very real concept.,2 months ago (edited),@Hoss999,UC1lsYph_Bl3nkk3EIm5OioA,216,10,https://yt3.ggpht.com/ytc/AIdro_kPojI9hlHqjW-kD-Il34eDCvLTaCsXno6WL8y-W3umoP4=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.020394,Gladiator,6.4
UgyKlKMts99Z6QRBQ5t4AaABAg,Ridley Scott making a movie that smacks of his career... The similarities between the corruption and decay of Rome versus the rot in Hollywood is low-key hilarious 😂,2 months ago,@dubedan6016,UCCJGarg6kNqkIjRlRXBMSag,88,2,https://yt3.ggpht.com/ytc/AIdro_mW2Yxg-uNJI7sNY8hDrIi_LlBP8UvCOfbLE_vA6iP5vH4=s88-c-k-c0x00ffffff-no-rj,False,False,1728428276.024982,Gladiator,6.4
