cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,Imdb Rating
Ugxut9j4VJ9eZZZWzPB4AaABAg,"Boys wake up, new personality just dropped",1 year ago,@BrandonHerrera,UCTrSsPMmZavLbc3Ex7VhjDg,33K,195,https://yt3.ggpht.com/ytc/AIdro_lKTZ9o7UIG4sgEI_ud4wLnASHNVT16xw0ldQ8FGfdpE1w=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.006243,TheFallGuy,8
UgyNkqCkYaoCJaiB7Ip4AaABAg,honestly i saw the title and had like 6 heart attacks thinking this was a fall guys movie,1 year ago,@a_panth3rr,UCSg4fObZNGs_Q-EAoatDO0A,10K,201,https://yt3.ggpht.com/KG-iRyV0WuukfqBolnkVJo0fBehb2rMGt8FjGonQ86-c0g_6IoSXcO8OrxJEedTA815caUfx=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.007241,TheFallGuy,8
Ugw0BWWENrBuzuGoPFx4AaABAg,The Oscars need a best Stunt category. They deserve all the love.,1 year ago,@linson2010,UCavWojMFWxNwDBX01XeZBeA,7.9K,56,https://yt3.ggpht.com/ytc/AIdro_mab1zcCs5x1RAvb3kjNWlzyRKmlImmOE2xUv_IIE0=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.009237,TheFallGuy,8
Ugzn8gHhrD1c9eeKFfF4AaABAg,"Honestly, a stuntman makes perfect sense as an action hero. It's almost literally their job.",1 year ago,@howlingguardian9005,UChpkEAxvpnkD_s_pESu0PKw,7K,32,https://yt3.ggpht.com/ytc/AIdro_lGbZHfPInFwhOUvfRJbFphpXMsgEmh0j0YS2riMBo=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.010233,TheFallGuy,8
UgxjlDh_Qcexks2JnE94AaABAg,this is ryan gosling era,10 months ago,@jaehyun4ever,UCk9RGGczBxtrDo6ezQlMEAw,2.3K,20,https://yt3.ggpht.com/gpkAc8FR5VCQdgmKDa8d22PAfCrUyvKkBwZgeAIIQugs6UNWa4vqqWxNvd8z1wLh2swM2Blpwg=s88-c-k-c0x00ffffff-no-rj,False,False,1707436786.012227,TheFallGuy,8
UgwUrK4RoIDtHW7J3gJ4AaABAg,Only this man can make a film like this genuinely work exactly how he helped make the nice guys work,1 year ago,@jayamaandhillon,UClLxYZwYUj4fYaJ1UttD2nw,4.1K,18,https://yt3.ggpht.com/XHHdToEtHAca5PayGsqgFRDGbHWOhCtKCOrPgj2H2Fn235oaE9FF_LTHQ2YXb8hGZf0bvX90Zw=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.012227,TheFallGuy,8
UgxHszk-IudLh-9T6rd4AaABAg,Gosling in a comedic role ALWAYS kills. This guy is a master of humor with a cheat code of infinite charisma!,1 year ago,@PlanetaTotalGames,UCAhHXo7Wghvipx7Zdhw2Tvg,3.1K,21,https://yt3.ggpht.com/ytc/AIdro_mwi0tJfO-McoDkVSaX6C0bdjJszAyvy3Xs-Go2XHawiQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.014776,TheFallGuy,8
UgwuRXDfj8WwCRQmRrN4AaABAg,I love that he kept his word and actually bought the dog a drink. That’s what I call integrity.,1 year ago,@MelvinFranklinJunior,UCqMbBaJ6PvKc83_DoOmtOXA,4.8K,14,https://yt3.ggpht.com/MzcvC8An2qiGwJU9tstDYWe4tvWAXYT3FeoNc5V0NJ1cwrmhPkVike5rvwVm5ZVstpukWGm0Hn0=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.015774,TheFallGuy,8
UgyQvIwYy91MMLD7MPp4AaABAg,"A live action Fall Guys movie was something we didn’t ask for, but absolutely need.",1 year ago,@gabrieltiongco,UCz5q1UiMvUK39t3GNXuT_7w,2.4K,44,https://yt3.ggpht.com/qOVMJ_DEQ294Qo5VgJZ5Vp44faD7qsus6XxvGpt1aWiDLXfKPI7MZg5vxP48S_A8PVjagFYnXA=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.016773,TheFallGuy,8
UgxkapbLSG8VC8EEnyZ4AaABAg,The fact that this was not made by Netflix made me wanna watch this 100%,1 year ago,@MethmalDhananjaya,UCvlUC3WQIY3QMAmg92Hb7vw,1.1K,7,https://yt3.ggpht.com/ytc/AIdro_k0NiTcZkrPODCPwa595qowdXIsrVrJDzZWQJzvW9AEZdA=s88-c-k-c0x00ffffff-no-rj,False,False,1702079986.01777,TheFallGuy,8
