cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,Imdb Rating
UgxUBjZAdxB6jyWLt3F4AaABAg,"I hate Harley Quinn, I hate Lady Gaga, I hate musicals, I hate unwanted sequels, and I hate modern Hollywood. So this is the perfect movie for me not to watch.",2 months ago,@CorporateBillionaire,UCEJZrLqYelvIQfX9CzMCPwg,9.6K,455,https://yt3.ggpht.com/ytc/AIdro_mGTZLafA4eUJttbAgzL-WGkP5x8QmlFeRJ_vPLb2rFsg=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.972045,TheJoker,6
UgzCFXO8-qgSIUrbNQ54AaABAg,"I knew this movie was gonna suck the moment they announced it was gonna be a musical with Lady Gaga aka Pterodactyl Face, and that’s an insult to Pterosaurs",2 months ago (edited),@kaiju115,UCP1Vb6LKq9KLpa6vweFzeEw,2.1K,33,https://yt3.ggpht.com/ukfK_oA95HuAyF87fSTMDOVkt5gt-x-4sU95JnpT5Ie2I0OGFDzbPw232aaHDrvZIEoRfNFv9Q=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.975068,TheJoker,6
Ugw6R5AwXwaqQWYvHTN4AaABAg,"So basically ""You were not supposed to like Joker, so here is a movie making fun of you for liking it.""",2 months ago,@SammEater,UCno5V-4appgV33TzqmeZt3g,2.9K,41,https://yt3.ggpht.com/ytc/AIdro_mHkQRJpLMHHzQ3Vo_VgUStMni_L7ojXMfyqHO8FRYM_w=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.979662,TheJoker,6
UgwVTcNyc63r7u_7ne94AaABAg,"This was a clear homage to heath ledgers joker in the dark knight, they saw him burn the money and thought, ‘how can we top that’  🤡",2 months ago,@pigglypoof,UCK1KZ8wbon-cIIV4iPb991w,1.7K,25,https://yt3.ggpht.com/ytc/AIdro_luuoi289hI0JeyzmW2lfjZ55kNC11CrH2bby-u6Fg=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.981562,TheJoker,6
UgwuHZ7cuWV9dw22RLJ4AaABAg,"Joker down, Gladiator next, ironically Joaquim is involved in both originals .",2 months ago,@MrTrueCaller619,UCOnmxA65W-3BQddOLipNHfA,2.8K,49,https://yt3.ggpht.com/k8Sqvvi0mX8ZE8vDz7QxlPFjqy52I6bAWmliCqcxMW-c9YiG-02LcUI72JdWNhG8mfgAwABOwAM=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.984562,TheJoker,6
UgwDIsMK1yKPkZxgibV4AaABAg,This film wasn’t needed,2 months ago,@icebergtv336,UCefRFtXg7tOuRNoD0YIn97g,1K,17,https://yt3.ggpht.com/O4b-yZQBBqcGcDp3EXANqRlgQ4RgrhIoVog9KS4bBfLuqlW05SGIeqb74Vlm8-ENmwu05gAlJIA=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.985559,TheJoker,6
UgxXJzPFS_uZ2HdoXOZ4AaABAg,"You can tell this movie was ONLY made to destroy the first film and the people that liked it. The people Hollywood called ""incels"" are inserted into the Film as the ""Joker Fans"" that pick him up after he ""escapes"" the courthouse. Those characters Arthur insults and runs off from were supposed to be the Audience...let that sink in, and then you'll realize exactly what this movie was; a slap in the face to those that liked the first one.",2 months ago,@justinlast2lastharder749,UCaqvs0ELLY1wOf24KNamKpg,423,17,https://yt3.ggpht.com/NxS4aiYOVgHORC69huo4H_zHf8mbXOCEUD94h93zwva7TAjTl3lSyfCcY2Lq9Qp3tjE9vbtG=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.988064,TheJoker,6
UgyQeorMpTzP-9DiqBx4AaABAg,"The moment they said it was a musical I was out. It's the Joker, not West Side Clown Story.",2 months ago,@BigApeBooks,UCq00kQRpRYYLK4fcIjkNuGg,1.9K,26,https://yt3.ggpht.com/U7Jt7BB927w4Dz9XXWyR1VP4EGKMXrquicv1Sw3E0MLUnL0Pc71sHn2XnEl4pGkmtqyV-f8I3kk=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.989061,TheJoker,6
UgzwA4BHfHPjKdqvPcl4AaABAg,"The first one felt like a one hit wonder. And if the first movie felt like a one hit wonder, then DON'T MAKE ANOTHER ONE!!!",2 months ago,@GrantDaily,UCYuUo7_b0DLpqUpUbCVlSgw,1.1K,15,https://yt3.ggpht.com/ytc/AIdro_lEdYMC_8CUkrhXQrMV7WOpJ_R4bQE3_SX4kY4Ntdst-Yo=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.990058,TheJoker,6
Ugx8ZmjXF0bSc3bdNdB4AaABAg,"I love the part when Joker said, ""This isn't Folie a Deux, this is Folie a Doodoo!"" and the whole audience laughed. Truly a movie that had no right to exist at all",2 months ago,@Eva01-jy2qu7pu9r,UCF3GsiShtUb6_FS_TNvo6Ng,972,12,https://yt3.ggpht.com/zyQ6qRHj_2obLSOfiyU8s5OdYu9SmUkomdSDw5AIs_iVSSxoOlKeDtWFgtY8uidxHJPK0sKs4A=s88-c-k-c0x00ffffff-no-rj,False,False,1728437185.992053,TheJoker,6
